file,class,method,variable,usage
/data/route/entity/Route.java,route.entity.Route,Route/0,id,1
/data/route/entity/Route.java,route.entity.Route,"Route/4[java.util.List<java.lang.String>,java.util.List<java.lang.Integer>,java.lang.String,java.lang.String]",distances,3
/data/route/entity/Route.java,route.entity.Route,"Route/4[java.util.List<java.lang.String>,java.util.List<java.lang.Integer>,java.lang.String,java.lang.String]",endStation,3
/data/route/entity/Route.java,route.entity.Route,"Route/4[java.util.List<java.lang.String>,java.util.List<java.lang.Integer>,java.lang.String,java.lang.String]",startStation,3
/data/route/entity/Route.java,route.entity.Route,"Route/4[java.util.List<java.lang.String>,java.util.List<java.lang.Integer>,java.lang.String,java.lang.String]",stations,3
/data/route/entity/Route.java,route.entity.Route,"Route/4[java.util.List<java.lang.String>,java.util.List<java.lang.Integer>,java.lang.String,java.lang.String]",id,1
/data/route/entity/Route.java,route.entity.Route,"Route/5[java.lang.String,java.util.List<java.lang.String>,java.util.List<java.lang.Integer>,java.lang.String,java.lang.String]",distances,3
/data/route/entity/Route.java,route.entity.Route,"Route/5[java.lang.String,java.util.List<java.lang.String>,java.util.List<java.lang.Integer>,java.lang.String,java.lang.String]",endStation,3
/data/route/entity/Route.java,route.entity.Route,"Route/5[java.lang.String,java.util.List<java.lang.String>,java.util.List<java.lang.Integer>,java.lang.String,java.lang.String]",startStation,3
/data/route/entity/Route.java,route.entity.Route,"Route/5[java.lang.String,java.util.List<java.lang.String>,java.util.List<java.lang.Integer>,java.lang.String,java.lang.String]",id,3
/data/route/entity/Route.java,route.entity.Route,"Route/5[java.lang.String,java.util.List<java.lang.String>,java.util.List<java.lang.Integer>,java.lang.String,java.lang.String]",stations,3
/data/route/controller/RouteController.java,route.controller.RouteController,queryAll/1[route.controller.HttpHeaders],routeService,1
/data/route/controller/RouteController.java,route.controller.RouteController,"createAndModifyRoute/2[route.entity.RouteInfo,route.controller.HttpHeaders]",routeService,1
/data/route/controller/RouteController.java,route.controller.RouteController,"queryByStartAndTerminal/3[java.lang.String,java.lang.String,route.controller.HttpHeaders]",routeService,1
/data/route/controller/RouteController.java,route.controller.RouteController,"deleteRoute/2[java.lang.String,route.controller.HttpHeaders]",routeService,1
/data/route/controller/RouteController.java,route.controller.RouteController,"queryByIds/2[java.util.List<java.lang.String>,route.controller.HttpHeaders]",routeService,1
/data/route/controller/RouteController.java,route.controller.RouteController,"queryById/2[java.lang.String,route.controller.HttpHeaders]",routeService,1
/data/route/service/RouteServiceImpl.java,route.service.RouteServiceImpl,"getRouteByStartAndEnd/3[java.lang.String,java.lang.String,route.service.HttpHeaders]",routeRepository,1
/data/route/service/RouteServiceImpl.java,route.service.RouteServiceImpl,"getRouteByStartAndEnd/3[java.lang.String,java.lang.String,route.service.HttpHeaders]",success,1
/data/route/service/RouteServiceImpl.java,route.service.RouteServiceImpl,"getRouteById/2[java.lang.String,route.service.HttpHeaders]",routeRepository,1
/data/route/service/RouteServiceImpl.java,route.service.RouteServiceImpl,"getRouteById/2[java.lang.String,route.service.HttpHeaders]",success,1
/data/route/service/RouteServiceImpl.java,route.service.RouteServiceImpl,"getRouteByIds/2[java.util.List<java.lang.String>,route.service.HttpHeaders]",routeRepository,1
/data/route/service/RouteServiceImpl.java,route.service.RouteServiceImpl,"getRouteByIds/2[java.util.List<java.lang.String>,route.service.HttpHeaders]",success,1
/data/route/service/RouteServiceImpl.java,route.service.RouteServiceImpl,"deleteRoute/2[java.lang.String,route.service.HttpHeaders]",routeRepository,2
/data/route/service/RouteServiceImpl.java,route.service.RouteServiceImpl,"createAndModify/2[route.entity.RouteInfo,route.service.HttpHeaders]",routeRepository,2
/data/route/service/RouteServiceImpl.java,route.service.RouteServiceImpl,getAllRoutes/1[route.service.HttpHeaders],routeRepository,1
/data/route/service/RouteServiceImpl.java,route.service.RouteServiceImpl,getAllRoutes/1[route.service.HttpHeaders],success,1
/data/route/init/InitData.java,route.init.InitData,run/1[java.lang.String[]],nanjing,4
/data/route/init/InitData.java,route.init.InitData,run/1[java.lang.String[]],routeService,10
/data/route/init/InitData.java,route.init.InitData,run/1[java.lang.String[]],shanghai,8
/data/route/init/InitData.java,route.init.InitData,run/1[java.lang.String[]],taiyuan,3
