file,class,method,variable,usage
/data/route/config/SecurityConfig.java,route.config.SecurityConfig$Anonymous1,addCorsMappings/1[route.config.CorsRegistry],registry,1
/data/route/config/SecurityConfig.java,route.config.SecurityConfig,configure/1[route.config.HttpSecurity],httpSecurity,2
/data/route/entity/Route.java,route.entity.Route,"Route/4[java.util.List<java.lang.String>,java.util.List<java.lang.Integer>,java.lang.String,java.lang.String]",distances,2
/data/route/entity/Route.java,route.entity.Route,"Route/4[java.util.List<java.lang.String>,java.util.List<java.lang.Integer>,java.lang.String,java.lang.String]",endStation,2
/data/route/entity/Route.java,route.entity.Route,"Route/4[java.util.List<java.lang.String>,java.util.List<java.lang.Integer>,java.lang.String,java.lang.String]",startStation,2
/data/route/entity/Route.java,route.entity.Route,"Route/4[java.util.List<java.lang.String>,java.util.List<java.lang.Integer>,java.lang.String,java.lang.String]",stations,2
/data/route/entity/Route.java,route.entity.Route,"Route/5[java.lang.String,java.util.List<java.lang.String>,java.util.List<java.lang.Integer>,java.lang.String,java.lang.String]",distances,2
/data/route/entity/Route.java,route.entity.Route,"Route/5[java.lang.String,java.util.List<java.lang.String>,java.util.List<java.lang.Integer>,java.lang.String,java.lang.String]",endStation,2
/data/route/entity/Route.java,route.entity.Route,"Route/5[java.lang.String,java.util.List<java.lang.String>,java.util.List<java.lang.Integer>,java.lang.String,java.lang.String]",startStation,2
/data/route/entity/Route.java,route.entity.Route,"Route/5[java.lang.String,java.util.List<java.lang.String>,java.util.List<java.lang.Integer>,java.lang.String,java.lang.String]",id,2
/data/route/entity/Route.java,route.entity.Route,"Route/5[java.lang.String,java.util.List<java.lang.String>,java.util.List<java.lang.Integer>,java.lang.String,java.lang.String]",stations,2
/data/route/RouteApplication.java,route.RouteApplication,restTemplate/1[route.RestTemplateBuilder],builder,1
/data/route/RouteApplication.java,route.RouteApplication,main/1[java.lang.String[]],args,1
/data/route/controller/RouteController.java,route.controller.RouteController,queryAll/1[route.controller.HttpHeaders],headers,1
/data/route/controller/RouteController.java,route.controller.RouteController,"createAndModifyRoute/2[route.entity.RouteInfo,route.controller.HttpHeaders]",headers,1
/data/route/controller/RouteController.java,route.controller.RouteController,"createAndModifyRoute/2[route.entity.RouteInfo,route.controller.HttpHeaders]",createAndModifyRouteInfo,3
/data/route/controller/RouteController.java,route.controller.RouteController,"queryByStartAndTerminal/3[java.lang.String,java.lang.String,route.controller.HttpHeaders]",headers,1
/data/route/controller/RouteController.java,route.controller.RouteController,"queryByStartAndTerminal/3[java.lang.String,java.lang.String,route.controller.HttpHeaders]",start,2
/data/route/controller/RouteController.java,route.controller.RouteController,"queryByStartAndTerminal/3[java.lang.String,java.lang.String,route.controller.HttpHeaders]",end,2
/data/route/controller/RouteController.java,route.controller.RouteController,"deleteRoute/2[java.lang.String,route.controller.HttpHeaders]",headers,1
/data/route/controller/RouteController.java,route.controller.RouteController,"deleteRoute/2[java.lang.String,route.controller.HttpHeaders]",routeId,2
/data/route/controller/RouteController.java,route.controller.RouteController,"queryByIds/2[java.util.List<java.lang.String>,route.controller.HttpHeaders]",headers,1
/data/route/controller/RouteController.java,route.controller.RouteController,"queryByIds/2[java.util.List<java.lang.String>,route.controller.HttpHeaders]",routeIds,2
/data/route/controller/RouteController.java,route.controller.RouteController,"queryById/2[java.lang.String,route.controller.HttpHeaders]",headers,1
/data/route/controller/RouteController.java,route.controller.RouteController,"queryById/2[java.lang.String,route.controller.HttpHeaders]",routeId,2
/data/route/service/RouteService.java,route.service.RouteService,"getRouteById/2[java.lang.String,route.service.HttpHeaders]",headers,0
/data/route/service/RouteService.java,route.service.RouteService,"getRouteById/2[java.lang.String,route.service.HttpHeaders]",routeId,0
/data/route/service/RouteService.java,route.service.RouteService,"createAndModify/2[route.entity.RouteInfo,route.service.HttpHeaders]",headers,0
/data/route/service/RouteService.java,route.service.RouteService,"createAndModify/2[route.entity.RouteInfo,route.service.HttpHeaders]",info,0
/data/route/service/RouteService.java,route.service.RouteService,"getRouteByStartAndEnd/3[java.lang.String,java.lang.String,route.service.HttpHeaders]",headers,0
/data/route/service/RouteService.java,route.service.RouteService,"getRouteByStartAndEnd/3[java.lang.String,java.lang.String,route.service.HttpHeaders]",startId,0
/data/route/service/RouteService.java,route.service.RouteService,"getRouteByStartAndEnd/3[java.lang.String,java.lang.String,route.service.HttpHeaders]",terminalId,0
/data/route/service/RouteService.java,route.service.RouteService,getAllRoutes/1[route.service.HttpHeaders],headers,0
/data/route/service/RouteService.java,route.service.RouteService,"getRouteByIds/2[java.util.List<java.lang.String>,route.service.HttpHeaders]",headers,0
/data/route/service/RouteService.java,route.service.RouteService,"getRouteByIds/2[java.util.List<java.lang.String>,route.service.HttpHeaders]",routeIds,0
/data/route/service/RouteService.java,route.service.RouteService,"deleteRoute/2[java.lang.String,route.service.HttpHeaders]",headers,0
/data/route/service/RouteService.java,route.service.RouteService,"deleteRoute/2[java.lang.String,route.service.HttpHeaders]",routeId,0
/data/route/service/RouteServiceImpl.java,route.service.RouteServiceImpl,"getRouteByStartAndEnd/3[java.lang.String,java.lang.String,route.service.HttpHeaders]",headers,0
/data/route/service/RouteServiceImpl.java,route.service.RouteServiceImpl,"getRouteByStartAndEnd/3[java.lang.String,java.lang.String,route.service.HttpHeaders]",routes,2
/data/route/service/RouteServiceImpl.java,route.service.RouteServiceImpl,"getRouteByStartAndEnd/3[java.lang.String,java.lang.String,route.service.HttpHeaders]",route,5
/data/route/service/RouteServiceImpl.java,route.service.RouteServiceImpl,"getRouteByStartAndEnd/3[java.lang.String,java.lang.String,route.service.HttpHeaders]",startId,3
