file,class,method,variable,usage
/data/seat/config/SecurityConfig.java,seat.config.SecurityConfig$Anonymous1,addCorsMappings/1[seat.config.CorsRegistry],registry,1
/data/seat/config/SecurityConfig.java,seat.config.SecurityConfig,configure/1[seat.config.HttpSecurity],httpSecurity,2
/data/seat/SeatApplication.java,seat.SeatApplication,restTemplate/1[seat.RestTemplateBuilder],builder,1
/data/seat/SeatApplication.java,seat.SeatApplication,main/1[java.lang.String[]],args,1
/data/seat/controller/SeatController.java,seat.controller.SeatController,"create/2[seat.controller.Seat,seat.controller.HttpHeaders]",headers,1
/data/seat/controller/SeatController.java,seat.controller.SeatController,"create/2[seat.controller.Seat,seat.controller.HttpHeaders]",seatRequest,4
/data/seat/controller/SeatController.java,seat.controller.SeatController,"getLeftTicketOfInterval/2[seat.controller.Seat,seat.controller.HttpHeaders]",headers,1
/data/seat/controller/SeatController.java,seat.controller.SeatController,"getLeftTicketOfInterval/2[seat.controller.Seat,seat.controller.HttpHeaders]",seatRequest,4
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"distributeSeat/2[seat.service.Seat,seat.service.HttpHeaders]",routeResult,0
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"distributeSeat/2[seat.service.Seat,seat.service.HttpHeaders]",soldTicketDestStation,1
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"distributeSeat/2[seat.service.Seat,seat.service.HttpHeaders]",headers,0
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"distributeSeat/2[seat.service.Seat,seat.service.HttpHeaders]",re3,6
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"distributeSeat/2[seat.service.Seat,seat.service.HttpHeaders]",order_other_service_url,1
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"distributeSeat/2[seat.service.Seat,seat.service.HttpHeaders]",ticket,6
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"distributeSeat/2[seat.service.Seat,seat.service.HttpHeaders]",leftTicketInfo,4
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"distributeSeat/2[seat.service.Seat,seat.service.HttpHeaders]",soldTicket,3
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"distributeSeat/2[seat.service.Seat,seat.service.HttpHeaders]",seatTotalNum,1
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"distributeSeat/2[seat.service.Seat,seat.service.HttpHeaders]",range,2
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"distributeSeat/2[seat.service.Seat,seat.service.HttpHeaders]",trainTypeResult,0
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"distributeSeat/2[seat.service.Seat,seat.service.HttpHeaders]",rand,2
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"distributeSeat/2[seat.service.Seat,seat.service.HttpHeaders]",seat,4
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"distributeSeat/2[seat.service.Seat,seat.service.HttpHeaders]",re,0
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"distributeSeat/2[seat.service.Seat,seat.service.HttpHeaders]",soldTickets,2
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"distributeSeat/2[seat.service.Seat,seat.service.HttpHeaders]",stationList,2
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"distributeSeat/2[seat.service.Seat,seat.service.HttpHeaders]",seatRequest,7
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"distributeSeat/2[seat.service.Seat,seat.service.HttpHeaders]",startStation,2
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"distributeSeat/2[seat.service.Seat,seat.service.HttpHeaders]",trainNumber,2
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"distributeSeat/2[seat.service.Seat,seat.service.HttpHeaders]",requestEntity,4
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"distributeSeat/2[seat.service.Seat,seat.service.HttpHeaders]",re2,0
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"distributeSeat/2[seat.service.Seat,seat.service.HttpHeaders]",order_service_url,1
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"getLeftTicketOfInterval/2[seat.service.Seat,seat.service.HttpHeaders]",soldTicketDestStation,1
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"getLeftTicketOfInterval/2[seat.service.Seat,seat.service.HttpHeaders]",headers,1
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"getLeftTicketOfInterval/2[seat.service.Seat,seat.service.HttpHeaders]",re3,6
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"getLeftTicketOfInterval/2[seat.service.Seat,seat.service.HttpHeaders]",order_other_service_url,1
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"getLeftTicketOfInterval/2[seat.service.Seat,seat.service.HttpHeaders]",leftTicketInfo,4
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"getLeftTicketOfInterval/2[seat.service.Seat,seat.service.HttpHeaders]",soldTicket,2
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"getLeftTicketOfInterval/2[seat.service.Seat,seat.service.HttpHeaders]",seatTotalNum,1
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"getLeftTicketOfInterval/2[seat.service.Seat,seat.service.HttpHeaders]",solidTicketSize,2
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"getLeftTicketOfInterval/2[seat.service.Seat,seat.service.HttpHeaders]",unusedNum,1
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"getLeftTicketOfInterval/2[seat.service.Seat,seat.service.HttpHeaders]",direstPart,3
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"getLeftTicketOfInterval/2[seat.service.Seat,seat.service.HttpHeaders]",numOfLeftTicket,3
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"getLeftTicketOfInterval/2[seat.service.Seat,seat.service.HttpHeaders]",soldTickets,2
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"getLeftTicketOfInterval/2[seat.service.Seat,seat.service.HttpHeaders]",stationList,5
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"getLeftTicketOfInterval/2[seat.service.Seat,seat.service.HttpHeaders]",seatRequest,9
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"getLeftTicketOfInterval/2[seat.service.Seat,seat.service.HttpHeaders]",startStation,1
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"getLeftTicketOfInterval/2[seat.service.Seat,seat.service.HttpHeaders]",trainNumber,4
/data/seat/service/SeatServiceImpl.java,seat.service.SeatServiceImpl,"getLeftTicketOfInterval/2[seat.service.Seat,seat.service.HttpHeaders]",requestEntity,4
