file,class,method,variable,usage
/data/food/controller/StationFoodController.java,food.controller.StationFoodController,getAllFoodStores/1[food.controller.HttpHeaders],stationFoodService,1
/data/food/controller/StationFoodController.java,food.controller.StationFoodController,"getFoodStoresOfStation/2[java.lang.String,food.controller.HttpHeaders]",stationFoodService,1
/data/food/controller/StationFoodController.java,food.controller.StationFoodController,"getFoodListByStationFoodStoreId/2[java.lang.String,food.controller.HttpHeaders]",stationFoodService,1
/data/food/controller/StationFoodController.java,food.controller.StationFoodController,getFoodStoresByStationNames/1[java.util.List<java.lang.String>],stationFoodService,1
/data/food/init/InitData.java,food.init.InitData,run/1[java.lang.String[]],service,1
/data/food/service/StationFoodServiceImpl.java,food.service.StationFoodServiceImpl,getFoodStoresByStationNames/1[java.util.List<java.lang.String>],noContent,1
/data/food/service/StationFoodServiceImpl.java,food.service.StationFoodServiceImpl,getFoodStoresByStationNames/1[java.util.List<java.lang.String>],success,1
/data/food/service/StationFoodServiceImpl.java,food.service.StationFoodServiceImpl,getFoodStoresByStationNames/1[java.util.List<java.lang.String>],stationFoodRepository,1
/data/food/service/StationFoodServiceImpl.java,food.service.StationFoodServiceImpl,"createFoodStore/2[food.entity.StationFoodStore,food.service.HttpHeaders]",stationFoodRepository,2
/data/food/service/StationFoodServiceImpl.java,food.service.StationFoodServiceImpl,listFoodStores/1[food.service.HttpHeaders],success,1
/data/food/service/StationFoodServiceImpl.java,food.service.StationFoodServiceImpl,listFoodStores/1[food.service.HttpHeaders],stationFoodRepository,1
/data/food/service/StationFoodServiceImpl.java,food.service.StationFoodServiceImpl,"listFoodStoresByStationName/2[java.lang.String,food.service.HttpHeaders]",success,1
/data/food/service/StationFoodServiceImpl.java,food.service.StationFoodServiceImpl,"listFoodStoresByStationName/2[java.lang.String,food.service.HttpHeaders]",stationFoodRepository,1
/data/food/service/StationFoodServiceImpl.java,food.service.StationFoodServiceImpl,getStaionFoodStoreById/1[java.lang.String],noContent,1
/data/food/service/StationFoodServiceImpl.java,food.service.StationFoodServiceImpl,getStaionFoodStoreById/1[java.lang.String],success,1
/data/food/service/StationFoodServiceImpl.java,food.service.StationFoodServiceImpl,getStaionFoodStoreById/1[java.lang.String],LOGGER,1
/data/food/service/StationFoodServiceImpl.java,food.service.StationFoodServiceImpl,getStaionFoodStoreById/1[java.lang.String],stationFoodRepository,1
/data/food/entity/StationFoodStore.java,food.entity.StationFoodStore,StationFoodStore/0,stationName,1
