file,class,method,variable,usage
/data/food/controller/StationFoodController.java,food.controller.StationFoodController,getAllFoodStores/1[food.controller.HttpHeaders],headers,1
/data/food/controller/StationFoodController.java,food.controller.StationFoodController,"getFoodStoresOfStation/2[java.lang.String,food.controller.HttpHeaders]",headers,1
/data/food/controller/StationFoodController.java,food.controller.StationFoodController,"getFoodStoresOfStation/2[java.lang.String,food.controller.HttpHeaders]",stationName,1
/data/food/controller/StationFoodController.java,food.controller.StationFoodController,"getFoodListByStationFoodStoreId/2[java.lang.String,food.controller.HttpHeaders]",stationFoodStoreId,1
/data/food/controller/StationFoodController.java,food.controller.StationFoodController,"getFoodListByStationFoodStoreId/2[java.lang.String,food.controller.HttpHeaders]",headers,0
/data/food/controller/StationFoodController.java,food.controller.StationFoodController,getFoodStoresByStationNames/1[java.util.List<java.lang.String>],stationNameList,1
/data/food/init/InitData.java,food.init.InitData,run/1[java.lang.String[]],args,0
/data/food/init/InitData.java,food.init.InitData,run/1[java.lang.String[]],br1,7
/data/food/init/InitData.java,food.init.InitData,run/1[java.lang.String[]],lineTemp,11
/data/food/init/InitData.java,food.init.InitData,run/1[java.lang.String[]],e,1
/data/food/init/InitData.java,food.init.InitData,run/1[java.lang.String[]],line,4
/data/food/init/InitData.java,food.init.InitData,run/1[java.lang.String[]],fs,8
/data/food/init/InitData.java,food.init.InitData,toFoodList/1[java.lang.String],s,2
/data/food/init/InitData.java,food.init.InitData,toFoodList/1[java.lang.String],foodList,2
/data/food/init/InitData.java,food.init.InitData,toFoodList/1[java.lang.String],foodstring,2
/data/food/init/InitData.java,food.init.InitData,toFoodList/1[java.lang.String],i,3
/data/food/init/InitData.java,food.init.InitData,toFoodList/1[java.lang.String],foodTemp,2
/data/food/init/InitData.java,food.init.InitData,toFoodList/1[java.lang.String],food,3
/data/food/service/StationFoodServiceImpl.java,food.service.StationFoodServiceImpl,getFoodStoresByStationNames/1[java.util.List<java.lang.String>],stationNames,2
/data/food/service/StationFoodServiceImpl.java,food.service.StationFoodServiceImpl,getFoodStoresByStationNames/1[java.util.List<java.lang.String>],stationFoodStoreList,2
/data/food/service/StationFoodServiceImpl.java,food.service.StationFoodServiceImpl,"createFoodStore/2[food.entity.StationFoodStore,food.service.HttpHeaders]",headers,0
/data/food/service/StationFoodServiceImpl.java,food.service.StationFoodServiceImpl,"createFoodStore/2[food.entity.StationFoodStore,food.service.HttpHeaders]",e,1
/data/food/service/StationFoodServiceImpl.java,food.service.StationFoodServiceImpl,"createFoodStore/2[food.entity.StationFoodStore,food.service.HttpHeaders]",fsTemp,1
/data/food/service/StationFoodServiceImpl.java,food.service.StationFoodServiceImpl,"createFoodStore/2[food.entity.StationFoodStore,food.service.HttpHeaders]",fs,4
/data/food/service/StationFoodServiceImpl.java,food.service.StationFoodServiceImpl,listFoodStores/1[food.service.HttpHeaders],headers,0
/data/food/service/StationFoodServiceImpl.java,food.service.StationFoodServiceImpl,listFoodStores/1[food.service.HttpHeaders],stationFoodStores,3
/data/food/service/StationFoodServiceImpl.java,food.service.StationFoodServiceImpl,"listFoodStoresByStationName/2[java.lang.String,food.service.HttpHeaders]",headers,0
/data/food/service/StationFoodServiceImpl.java,food.service.StationFoodServiceImpl,"listFoodStoresByStationName/2[java.lang.String,food.service.HttpHeaders]",stationName,2
/data/food/service/StationFoodServiceImpl.java,food.service.StationFoodServiceImpl,"listFoodStoresByStationName/2[java.lang.String,food.service.HttpHeaders]",stationFoodStoreList,3
/data/food/service/StationFoodServiceImpl.java,food.service.StationFoodServiceImpl,getStaionFoodStoreById/1[java.lang.String],stationFoodStore,2
/data/food/service/StationFoodServiceImpl.java,food.service.StationFoodServiceImpl,getStaionFoodStoreById/1[java.lang.String],id,2
/data/food/config/SecurityConfig.java,food.config.SecurityConfig,configure/1[food.config.HttpSecurity],httpSecurity,2
/data/food/repository/StationFoodRepository.java,food.repository.StationFoodRepository,deleteById/1[java.lang.String],id,0
/data/food/repository/StationFoodRepository.java,food.repository.StationFoodRepository,findById/1[java.lang.String],id,0
/data/food/repository/StationFoodRepository.java,food.repository.StationFoodRepository,findByStationNameIn/1[java.util.List<java.lang.String>],stationNames,0
/data/food/repository/StationFoodRepository.java,food.repository.StationFoodRepository,findByStationName/1[java.lang.String],stationName,0
/data/food/StationFoodApplication.java,food.StationFoodApplication,restTemplate/1[food.RestTemplateBuilder],builder,1
/data/food/StationFoodApplication.java,food.StationFoodApplication,main/1[java.lang.String[]],args,1
/data/food/service/StationFoodService.java,food.service.StationFoodService,"listFoodStoresByStationName/2[java.lang.String,food.service.HttpHeaders]",headers,0
/data/food/service/StationFoodService.java,food.service.StationFoodService,"listFoodStoresByStationName/2[java.lang.String,food.service.HttpHeaders]",stationName,0
/data/food/service/StationFoodService.java,food.service.StationFoodService,getStaionFoodStoreById/1[java.lang.String],id,0
/data/food/service/StationFoodService.java,food.service.StationFoodService,"createFoodStore/2[food.entity.StationFoodStore,food.service.HttpHeaders]",headers,0
/data/food/service/StationFoodService.java,food.service.StationFoodService,"createFoodStore/2[food.entity.StationFoodStore,food.service.HttpHeaders]",fs,0
/data/food/service/StationFoodService.java,food.service.StationFoodService,listFoodStores/1[food.service.HttpHeaders],headers,0
/data/food/service/StationFoodService.java,food.service.StationFoodService,getFoodStoresByStationNames/1[java.util.List<java.lang.String>],stationNames,0
/data/food/config/SecurityConfig.java,food.config.SecurityConfig$Anonymous1,addCorsMappings/1[food.config.CorsRegistry],registry,1
