file,class,method,variable,usage
/data/fdse/microservice/entity/Station.java,fdse.microservice.entity.Station,Station/1[java.lang.String],name,3
/data/fdse/microservice/entity/Station.java,fdse.microservice.entity.Station,Station/0,name,1
/data/fdse/microservice/entity/Station.java,fdse.microservice.entity.Station,"Station/2[java.lang.String,int]",stayTime,3
/data/fdse/microservice/entity/Station.java,fdse.microservice.entity.Station,"Station/2[java.lang.String,int]",name,3
/data/fdse/microservice/entity/Station.java,fdse.microservice.entity.Station,setName/1[java.lang.String],name,3
/data/fdse/microservice/controller/StationController.java,fdse.microservice.controller.StationController,query/1[fdse.microservice.controller.HttpHeaders],stationService,1
/data/fdse/microservice/controller/StationController.java,fdse.microservice.controller.StationController,"create/2[fdse.microservice.entity.Station,fdse.microservice.controller.HttpHeaders]",stationService,1
/data/fdse/microservice/controller/StationController.java,fdse.microservice.controller.StationController,"queryForIdBatch/2[java.util.List<java.lang.String>,fdse.microservice.controller.HttpHeaders]",stationService,1
/data/fdse/microservice/controller/StationController.java,fdse.microservice.controller.StationController,"queryById/2[java.lang.String,fdse.microservice.controller.HttpHeaders]",stationService,1
/data/fdse/microservice/controller/StationController.java,fdse.microservice.controller.StationController,"update/2[fdse.microservice.entity.Station,fdse.microservice.controller.HttpHeaders]",stationService,1
/data/fdse/microservice/controller/StationController.java,fdse.microservice.controller.StationController,"delete/2[java.lang.String,fdse.microservice.controller.HttpHeaders]",stationService,1
/data/fdse/microservice/controller/StationController.java,fdse.microservice.controller.StationController,"queryForNameBatch/2[java.util.List<java.lang.String>,fdse.microservice.controller.HttpHeaders]",stationService,1
/data/fdse/microservice/controller/StationController.java,fdse.microservice.controller.StationController,"queryForStationId/2[java.lang.String,fdse.microservice.controller.HttpHeaders]",stationService,1
/data/fdse/microservice/service/StationServiceImpl.java,fdse.microservice.service.StationServiceImpl,"queryForIdBatch/2[java.util.List<java.lang.String>,fdse.microservice.service.HttpHeaders]",success,1
/data/fdse/microservice/service/StationServiceImpl.java,fdse.microservice.service.StationServiceImpl,"queryForIdBatch/2[java.util.List<java.lang.String>,fdse.microservice.service.HttpHeaders]",repository,1
/data/fdse/microservice/service/StationServiceImpl.java,fdse.microservice.service.StationServiceImpl,"update/2[fdse.microservice.entity.Station,fdse.microservice.service.HttpHeaders]",repository,2
/data/fdse/microservice/service/StationServiceImpl.java,fdse.microservice.service.StationServiceImpl,"queryForId/2[java.lang.String,fdse.microservice.service.HttpHeaders]",success,1
/data/fdse/microservice/service/StationServiceImpl.java,fdse.microservice.service.StationServiceImpl,"queryForId/2[java.lang.String,fdse.microservice.service.HttpHeaders]",repository,1
/data/fdse/microservice/service/StationServiceImpl.java,fdse.microservice.service.StationServiceImpl,query/1[fdse.microservice.service.HttpHeaders],repository,1
/data/fdse/microservice/service/StationServiceImpl.java,fdse.microservice.service.StationServiceImpl,"delete/2[java.lang.String,fdse.microservice.service.HttpHeaders]",repository,2
/data/fdse/microservice/service/StationServiceImpl.java,fdse.microservice.service.StationServiceImpl,"queryByIdBatch/2[java.util.List<java.lang.String>,fdse.microservice.service.HttpHeaders]",success,1
/data/fdse/microservice/service/StationServiceImpl.java,fdse.microservice.service.StationServiceImpl,"queryByIdBatch/2[java.util.List<java.lang.String>,fdse.microservice.service.HttpHeaders]",repository,1
/data/fdse/microservice/service/StationServiceImpl.java,fdse.microservice.service.StationServiceImpl,"exist/2[java.lang.String,fdse.microservice.service.HttpHeaders]",repository,1
/data/fdse/microservice/service/StationServiceImpl.java,fdse.microservice.service.StationServiceImpl,"queryById/2[java.lang.String,fdse.microservice.service.HttpHeaders]",success,1
/data/fdse/microservice/service/StationServiceImpl.java,fdse.microservice.service.StationServiceImpl,"queryById/2[java.lang.String,fdse.microservice.service.HttpHeaders]",repository,1
/data/fdse/microservice/service/StationServiceImpl.java,fdse.microservice.service.StationServiceImpl,"create/2[fdse.microservice.entity.Station,fdse.microservice.service.HttpHeaders]",repository,2
/data/fdse/microservice/init/InitData.java,fdse.microservice.init.InitData,run/1[java.lang.String[]],service,13
/data/fdse/microservice/config/SecurityConfig.java,fdse.microservice.config.SecurityConfig,configure/1[fdse.microservice.config.HttpSecurity],admin,3
/data/fdse/microservice/config/SecurityConfig.java,fdse.microservice.config.SecurityConfig,configure/1[fdse.microservice.config.HttpSecurity],stations,3
