file,class,method,variable,usage
/data/fdse/microservice/StationApplication.java,fdse.microservice.StationApplication,main/1[java.lang.String[]],args,1
/data/fdse/microservice/StationApplication.java,fdse.microservice.StationApplication,restTemplate/1[fdse.microservice.RestTemplateBuilder],builder,1
/data/fdse/microservice/entity/Station.java,fdse.microservice.entity.Station,Station/1[java.lang.String],name,2
/data/fdse/microservice/entity/Station.java,fdse.microservice.entity.Station,"Station/2[java.lang.String,int]",stayTime,2
/data/fdse/microservice/entity/Station.java,fdse.microservice.entity.Station,"Station/2[java.lang.String,int]",name,2
/data/fdse/microservice/entity/Station.java,fdse.microservice.entity.Station,setName/1[java.lang.String],name,2
/data/fdse/microservice/repository/StationRepository.java,fdse.microservice.repository.StationRepository,findByName/1[java.lang.String],name,0
/data/fdse/microservice/repository/StationRepository.java,fdse.microservice.repository.StationRepository,findByNames/1[java.util.List<java.lang.String>],names,0
/data/fdse/microservice/repository/StationRepository.java,fdse.microservice.repository.StationRepository,findById/1[java.lang.String],id,0
/data/fdse/microservice/service/StationService.java,fdse.microservice.service.StationService,query/1[fdse.microservice.service.HttpHeaders],headers,0
/data/fdse/microservice/service/StationService.java,fdse.microservice.service.StationService,"queryForIdBatch/2[java.util.List<java.lang.String>,fdse.microservice.service.HttpHeaders]",headers,0
/data/fdse/microservice/service/StationService.java,fdse.microservice.service.StationService,"queryForIdBatch/2[java.util.List<java.lang.String>,fdse.microservice.service.HttpHeaders]",nameList,0
/data/fdse/microservice/service/StationService.java,fdse.microservice.service.StationService,"exist/2[java.lang.String,fdse.microservice.service.HttpHeaders]",headers,0
/data/fdse/microservice/service/StationService.java,fdse.microservice.service.StationService,"exist/2[java.lang.String,fdse.microservice.service.HttpHeaders]",stationName,0
/data/fdse/microservice/service/StationService.java,fdse.microservice.service.StationService,"queryById/2[java.lang.String,fdse.microservice.service.HttpHeaders]",headers,0
/data/fdse/microservice/service/StationService.java,fdse.microservice.service.StationService,"queryById/2[java.lang.String,fdse.microservice.service.HttpHeaders]",stationId,0
/data/fdse/microservice/service/StationService.java,fdse.microservice.service.StationService,"delete/2[java.lang.String,fdse.microservice.service.HttpHeaders]",headers,0
/data/fdse/microservice/service/StationService.java,fdse.microservice.service.StationService,"delete/2[java.lang.String,fdse.microservice.service.HttpHeaders]",stationsId,0
/data/fdse/microservice/service/StationService.java,fdse.microservice.service.StationService,"queryByIdBatch/2[java.util.List<java.lang.String>,fdse.microservice.service.HttpHeaders]",headers,0
/data/fdse/microservice/service/StationService.java,fdse.microservice.service.StationService,"queryByIdBatch/2[java.util.List<java.lang.String>,fdse.microservice.service.HttpHeaders]",stationIdList,0
/data/fdse/microservice/service/StationService.java,fdse.microservice.service.StationService,"update/2[fdse.microservice.entity.Station,fdse.microservice.service.HttpHeaders]",headers,0
/data/fdse/microservice/service/StationService.java,fdse.microservice.service.StationService,"update/2[fdse.microservice.entity.Station,fdse.microservice.service.HttpHeaders]",info,0
/data/fdse/microservice/service/StationService.java,fdse.microservice.service.StationService,"queryForId/2[java.lang.String,fdse.microservice.service.HttpHeaders]",headers,0
/data/fdse/microservice/service/StationService.java,fdse.microservice.service.StationService,"queryForId/2[java.lang.String,fdse.microservice.service.HttpHeaders]",stationName,0
