file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/data/trainFood/init/InitData.java,trainFood.init.InitData,run/1[java.lang.String[]],false,28,3,3,0,3,4,17,23,0,4,1,17,1,1,1,1,1,0,5,3,6,0,3,0,0,0,21,1,2,false
/data/trainFood/init/InitData.java,trainFood.init.InitData,toFoodList/1[java.lang.String],false,52,1,1,1,0,2,6,13,1,5,1,6,0,0,1,0,0,0,3,3,5,0,1,0,0,0,8,2,1,false
/data/trainFood/entity/TrainFood.java,trainFood.entity.TrainFood,TrainFood/0,true,33,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,false
/data/trainFood/repository/TrainFoodRepository.java,trainFood.repository.TrainFoodRepository,findByTripId/1[java.lang.String],false,19,1,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,false
/data/trainFood/repository/TrainFoodRepository.java,trainFood.repository.TrainFoodRepository,findAll/0,false,15,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/data/trainFood/repository/TrainFoodRepository.java,trainFood.repository.TrainFoodRepository,deleteById/1[java.util.UUID],false,21,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,false
/data/trainFood/repository/TrainFoodRepository.java,trainFood.repository.TrainFoodRepository,findById/1[java.util.UUID],false,13,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,false
/data/trainFood/config/SecurityConfig.java,trainFood.config.SecurityConfig,configure/1[trainFood.config.HttpSecurity],false,56,3,0,0,0,1,14,4,0,0,1,14,0,0,0,0,0,0,7,0,0,0,0,0,0,0,18,4,0,false
/data/trainFood/config/SecurityConfig.java,trainFood.config.SecurityConfig,passwordEncoder/0,false,27,3,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/data/trainFood/config/SecurityConfig.java,trainFood.config.SecurityConfig,corsConfigurer/0,false,40,4,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,1,0,true
/data/trainFood/service/TrainFoodService.java,trainFood.service.TrainFoodService,listTrainFood/1[trainFood.service.HttpHeaders],false,10,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,false
/data/trainFood/service/TrainFoodService.java,trainFood.service.TrainFoodService,"createTrainFood/2[trainFood.entity.TrainFood,trainFood.service.HttpHeaders]",false,8,2,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
/data/trainFood/service/TrainFoodService.java,trainFood.service.TrainFoodService,"listTrainFoodByTripId/2[java.lang.String,trainFood.service.HttpHeaders]",false,12,2,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,false
/data/trainFood/config/SecurityConfig.java,trainFood.config.SecurityConfig$Anonymous1,addCorsMappings/1[trainFood.config.CorsRegistry],false,43,1,0,0,0,1,6,3,0,0,1,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,1,0,false
/data/trainFood/controller/TrainFoodController.java,trainFood.controller.TrainFoodController,"getTrainFoodOfTrip/2[java.lang.String,trainFood.controller.HttpHeaders]",false,36,7,1,0,1,1,3,4,1,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,17,1,1,false
