file,class,method,variable,usage
/data/trainFood/init/InitData.java,trainFood.init.InitData,run/1[java.lang.String[]],args,0
/data/trainFood/init/InitData.java,trainFood.init.InitData,run/1[java.lang.String[]],lineTemp,3
/data/trainFood/init/InitData.java,trainFood.init.InitData,run/1[java.lang.String[]],tf,4
/data/trainFood/init/InitData.java,trainFood.init.InitData,run/1[java.lang.String[]],br2,3
/data/trainFood/init/InitData.java,trainFood.init.InitData,run/1[java.lang.String[]],e,1
/data/trainFood/init/InitData.java,trainFood.init.InitData,run/1[java.lang.String[]],line2,4
/data/trainFood/init/InitData.java,trainFood.init.InitData,toFoodList/1[java.lang.String],s,2
/data/trainFood/init/InitData.java,trainFood.init.InitData,toFoodList/1[java.lang.String],foodList,2
/data/trainFood/init/InitData.java,trainFood.init.InitData,toFoodList/1[java.lang.String],foodstring,2
/data/trainFood/init/InitData.java,trainFood.init.InitData,toFoodList/1[java.lang.String],i,3
/data/trainFood/init/InitData.java,trainFood.init.InitData,toFoodList/1[java.lang.String],foodTemp,2
/data/trainFood/init/InitData.java,trainFood.init.InitData,toFoodList/1[java.lang.String],food,3
/data/trainFood/repository/TrainFoodRepository.java,trainFood.repository.TrainFoodRepository,findByTripId/1[java.lang.String],tripId,0
/data/trainFood/repository/TrainFoodRepository.java,trainFood.repository.TrainFoodRepository,deleteById/1[java.util.UUID],id,0
/data/trainFood/repository/TrainFoodRepository.java,trainFood.repository.TrainFoodRepository,findById/1[java.util.UUID],id,0
/data/trainFood/config/SecurityConfig.java,trainFood.config.SecurityConfig,configure/1[trainFood.config.HttpSecurity],httpSecurity,2
/data/trainFood/service/TrainFoodService.java,trainFood.service.TrainFoodService,listTrainFood/1[trainFood.service.HttpHeaders],headers,0
/data/trainFood/service/TrainFoodService.java,trainFood.service.TrainFoodService,"createTrainFood/2[trainFood.entity.TrainFood,trainFood.service.HttpHeaders]",headers,0
/data/trainFood/service/TrainFoodService.java,trainFood.service.TrainFoodService,"createTrainFood/2[trainFood.entity.TrainFood,trainFood.service.HttpHeaders]",tf,0
/data/trainFood/service/TrainFoodService.java,trainFood.service.TrainFoodService,"listTrainFoodByTripId/2[java.lang.String,trainFood.service.HttpHeaders]",headers,0
/data/trainFood/service/TrainFoodService.java,trainFood.service.TrainFoodService,"listTrainFoodByTripId/2[java.lang.String,trainFood.service.HttpHeaders]",tripId,0
/data/trainFood/config/SecurityConfig.java,trainFood.config.SecurityConfig$Anonymous1,addCorsMappings/1[trainFood.config.CorsRegistry],registry,1
/data/trainFood/controller/TrainFoodController.java,trainFood.controller.TrainFoodController,"getTrainFoodOfTrip/2[java.lang.String,trainFood.controller.HttpHeaders]",headers,1
/data/trainFood/controller/TrainFoodController.java,trainFood.controller.TrainFoodController,"getTrainFoodOfTrip/2[java.lang.String,trainFood.controller.HttpHeaders]",tripId,1
/data/trainFood/controller/TrainFoodController.java,trainFood.controller.TrainFoodController,getAllTrainFood/1[trainFood.controller.HttpHeaders],headers,1
/data/trainFood/TrainFoodApplication.java,trainFood.TrainFoodApplication,restTemplate/1[trainFood.RestTemplateBuilder],builder,1
/data/trainFood/TrainFoodApplication.java,trainFood.TrainFoodApplication,main/1[java.lang.String[]],args,1
/data/trainFood/service/TrainFoodServiceImpl.java,trainFood.service.TrainFoodServiceImpl,listTrainFood/1[trainFood.service.HttpHeaders],headers,0
/data/trainFood/service/TrainFoodServiceImpl.java,trainFood.service.TrainFoodServiceImpl,listTrainFood/1[trainFood.service.HttpHeaders],trainFoodList,3
/data/trainFood/service/TrainFoodServiceImpl.java,trainFood.service.TrainFoodServiceImpl,"createTrainFood/2[trainFood.entity.TrainFood,trainFood.service.HttpHeaders]",headers,0
/data/trainFood/service/TrainFoodServiceImpl.java,trainFood.service.TrainFoodServiceImpl,"createTrainFood/2[trainFood.entity.TrainFood,trainFood.service.HttpHeaders]",tfTemp,4
/data/trainFood/service/TrainFoodServiceImpl.java,trainFood.service.TrainFoodServiceImpl,"createTrainFood/2[trainFood.entity.TrainFood,trainFood.service.HttpHeaders]",tf,6
/data/trainFood/service/TrainFoodServiceImpl.java,trainFood.service.TrainFoodServiceImpl,"listTrainFoodByTripId/2[java.lang.String,trainFood.service.HttpHeaders]",headers,0
/data/trainFood/service/TrainFoodServiceImpl.java,trainFood.service.TrainFoodServiceImpl,"listTrainFoodByTripId/2[java.lang.String,trainFood.service.HttpHeaders]",tf,2
/data/trainFood/service/TrainFoodServiceImpl.java,trainFood.service.TrainFoodServiceImpl,"listTrainFoodByTripId/2[java.lang.String,trainFood.service.HttpHeaders]",tripId,1
