file,class,method,variable,usage
/data/train/init/InitData.java,train.init.InitData,run/1[java.lang.String[]],service,6
/data/train/entity/TrainType.java,train.entity.TrainType,"TrainType/3[java.lang.String,int,int]",confortClass,3
/data/train/entity/TrainType.java,train.entity.TrainType,"TrainType/3[java.lang.String,int,int]",economyClass,3
/data/train/entity/TrainType.java,train.entity.TrainType,"TrainType/3[java.lang.String,int,int]",name,3
/data/train/entity/TrainType.java,train.entity.TrainType,"TrainType/4[java.lang.String,int,int,int]",confortClass,3
/data/train/entity/TrainType.java,train.entity.TrainType,"TrainType/4[java.lang.String,int,int,int]",economyClass,3
/data/train/entity/TrainType.java,train.entity.TrainType,"TrainType/4[java.lang.String,int,int,int]",name,3
/data/train/entity/TrainType.java,train.entity.TrainType,"TrainType/4[java.lang.String,int,int,int]",averageSpeed,3
/data/train/config/SecurityConfig.java,train.config.SecurityConfig,configure/1[train.config.HttpSecurity],admin,3
/data/train/controller/TrainController.java,train.controller.TrainController,"retrieve/2[java.lang.String,train.controller.HttpHeaders]",trainService,1
/data/train/controller/TrainController.java,train.controller.TrainController,"delete/2[java.lang.String,train.controller.HttpHeaders]",trainService,1
/data/train/controller/TrainController.java,train.controller.TrainController,"create/2[train.entity.TrainType,train.controller.HttpHeaders]",trainService,1
/data/train/controller/TrainController.java,train.controller.TrainController,"update/2[train.entity.TrainType,train.controller.HttpHeaders]",trainService,1
/data/train/controller/TrainController.java,train.controller.TrainController,query/1[train.controller.HttpHeaders],trainService,1
/data/train/controller/TrainController.java,train.controller.TrainController,"retrieveByName/2[java.util.List<java.lang.String>,train.controller.HttpHeaders]",trainService,1
/data/train/controller/TrainController.java,train.controller.TrainController,"retrieveByName/2[java.lang.String,train.controller.HttpHeaders]",trainService,1
/data/train/service/TrainServiceImpl.java,train.service.TrainServiceImpl,"retrieveByName/2[java.lang.String,train.service.HttpHeaders]",repository,1
/data/train/service/TrainServiceImpl.java,train.service.TrainServiceImpl,query/1[train.service.HttpHeaders],repository,1
/data/train/service/TrainServiceImpl.java,train.service.TrainServiceImpl,"retrieveByNames/2[java.util.List<java.lang.String>,train.service.HttpHeaders]",repository,1
/data/train/service/TrainServiceImpl.java,train.service.TrainServiceImpl,"delete/2[java.lang.String,train.service.HttpHeaders]",repository,2
/data/train/service/TrainServiceImpl.java,train.service.TrainServiceImpl,"update/2[train.entity.TrainType,train.service.HttpHeaders]",repository,2
/data/train/service/TrainServiceImpl.java,train.service.TrainServiceImpl,"create/2[train.entity.TrainType,train.service.HttpHeaders]",repository,2
/data/train/service/TrainServiceImpl.java,train.service.TrainServiceImpl,"retrieve/2[java.lang.String,train.service.HttpHeaders]",repository,2
