file,class,method,variable,usage
/data/train/repository/TrainTypeRepository.java,train.repository.TrainTypeRepository,findById/1[java.lang.String],id,0
/data/train/repository/TrainTypeRepository.java,train.repository.TrainTypeRepository,deleteById/1[java.lang.String],id,0
/data/train/repository/TrainTypeRepository.java,train.repository.TrainTypeRepository,findByName/1[java.lang.String],name,0
/data/train/repository/TrainTypeRepository.java,train.repository.TrainTypeRepository,findByNames/1[java.util.List<java.lang.String>],names,0
/data/train/config/SecurityConfig.java,train.config.SecurityConfig$Anonymous1,addCorsMappings/1[train.config.CorsRegistry],registry,1
/data/train/TrainApplication.java,train.TrainApplication,restTemplate/1[train.RestTemplateBuilder],builder,1
/data/train/TrainApplication.java,train.TrainApplication,main/1[java.lang.String[]],args,1
/data/train/init/InitData.java,train.init.InitData,run/1[java.lang.String[]],args,0
/data/train/init/InitData.java,train.init.InitData,run/1[java.lang.String[]],info,35
/data/train/service/TrainService.java,train.service.TrainService,"update/2[train.entity.TrainType,train.service.HttpHeaders]",headers,0
/data/train/service/TrainService.java,train.service.TrainService,"update/2[train.entity.TrainType,train.service.HttpHeaders]",trainType,0
/data/train/service/TrainService.java,train.service.TrainService,"create/2[train.entity.TrainType,train.service.HttpHeaders]",headers,0
/data/train/service/TrainService.java,train.service.TrainService,"create/2[train.entity.TrainType,train.service.HttpHeaders]",trainType,0
/data/train/service/TrainService.java,train.service.TrainService,query/1[train.service.HttpHeaders],headers,0
/data/train/service/TrainService.java,train.service.TrainService,"delete/2[java.lang.String,train.service.HttpHeaders]",headers,0
/data/train/service/TrainService.java,train.service.TrainService,"delete/2[java.lang.String,train.service.HttpHeaders]",id,0
/data/train/service/TrainService.java,train.service.TrainService,"retrieveByNames/2[java.util.List<java.lang.String>,train.service.HttpHeaders]",headers,0
/data/train/service/TrainService.java,train.service.TrainService,"retrieveByNames/2[java.util.List<java.lang.String>,train.service.HttpHeaders]",name,0
/data/train/service/TrainService.java,train.service.TrainService,"retrieve/2[java.lang.String,train.service.HttpHeaders]",headers,0
/data/train/service/TrainService.java,train.service.TrainService,"retrieve/2[java.lang.String,train.service.HttpHeaders]",id,0
/data/train/service/TrainService.java,train.service.TrainService,"retrieveByName/2[java.lang.String,train.service.HttpHeaders]",headers,0
/data/train/service/TrainService.java,train.service.TrainService,"retrieveByName/2[java.lang.String,train.service.HttpHeaders]",name,0
/data/train/entity/TrainType.java,train.entity.TrainType,"TrainType/3[java.lang.String,int,int]",confortClass,2
/data/train/entity/TrainType.java,train.entity.TrainType,"TrainType/3[java.lang.String,int,int]",economyClass,2
/data/train/entity/TrainType.java,train.entity.TrainType,"TrainType/3[java.lang.String,int,int]",name,2
/data/train/entity/TrainType.java,train.entity.TrainType,"TrainType/4[java.lang.String,int,int,int]",confortClass,2
