file,class,method,variable,usage
/data/travelplan/entity/TransferTravelInfo.java,travelplan.entity.TransferTravelInfo,"TransferTravelInfo/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",endStation,3
/data/travelplan/entity/TransferTravelInfo.java,travelplan.entity.TransferTravelInfo,"TransferTravelInfo/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",viaStation,3
/data/travelplan/entity/TransferTravelInfo.java,travelplan.entity.TransferTravelInfo,"TransferTravelInfo/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",travelDate,3
/data/travelplan/entity/TransferTravelInfo.java,travelplan.entity.TransferTravelInfo,"TransferTravelInfo/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",trainType,3
/data/travelplan/entity/TransferTravelInfo.java,travelplan.entity.TransferTravelInfo,"TransferTravelInfo/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",startStation,3
/data/travelplan/entity/TransferTravelInfo.java,travelplan.entity.TransferTravelInfo,getTravelDate/0,travelDate,1
/data/travelplan/controller/TravelPlanController.java,travelplan.controller.TravelPlanController,"getByMinStation/2[travelplan.controller.TripInfo,travelplan.controller.HttpHeaders]",travelPlanService,1
/data/travelplan/controller/TravelPlanController.java,travelplan.controller.TravelPlanController,"getTransferResult/2[travelplan.entity.TransferTravelInfo,travelplan.controller.HttpHeaders]",travelPlanService,1
/data/travelplan/controller/TravelPlanController.java,travelplan.controller.TravelPlanController,"getByQuickest/2[travelplan.controller.TripInfo,travelplan.controller.HttpHeaders]",travelPlanService,1
/data/travelplan/controller/TravelPlanController.java,travelplan.controller.TravelPlanController,"getByCheapest/2[travelplan.controller.TripInfo,travelplan.controller.HttpHeaders]",travelPlanService,1
/data/travelplan/service/TravelPlanServiceImpl.java,travelplan.service.TravelPlanServiceImpl,"getQuickest/2[travelplan.service.TripInfo,travelplan.service.HttpHeaders]",success,1
/data/travelplan/service/TravelPlanServiceImpl.java,travelplan.service.TravelPlanServiceImpl,"getQuickest/2[travelplan.service.TripInfo,travelplan.service.HttpHeaders]",cannotFind,1
/data/travelplan/service/TravelPlanServiceImpl.java,travelplan.service.TravelPlanServiceImpl,"getRoutePlanResultQuickest/2[travelplan.service.RoutePlanInfo,travelplan.service.HttpHeaders]",restTemplate,1
/data/travelplan/service/TravelPlanServiceImpl.java,travelplan.service.TravelPlanServiceImpl,"tripsFromHighSpeed/2[travelplan.service.TripInfo,travelplan.service.HttpHeaders]",restTemplate,1
/data/travelplan/service/TravelPlanServiceImpl.java,travelplan.service.TravelPlanServiceImpl,"queryTrainTypeByName/2[java.lang.String,travelplan.service.HttpHeaders]",restTemplate,1
/data/travelplan/service/TravelPlanServiceImpl.java,travelplan.service.TravelPlanServiceImpl,"getMinStation/2[travelplan.service.TripInfo,travelplan.service.HttpHeaders]",success,1
/data/travelplan/service/TravelPlanServiceImpl.java,travelplan.service.TravelPlanServiceImpl,"getMinStation/2[travelplan.service.TripInfo,travelplan.service.HttpHeaders]",cannotFind,1
/data/travelplan/service/TravelPlanServiceImpl.java,travelplan.service.TravelPlanServiceImpl,"getRestTicketNumber/8[java.lang.String,java.lang.String,java.lang.String,java.lang.String,int,int,java.util.List<java.lang.String>,travelplan.service.HttpHeaders]",restTemplate,1
/data/travelplan/service/TravelPlanServiceImpl.java,travelplan.service.TravelPlanServiceImpl,"tripsFromNormal/2[travelplan.service.TripInfo,travelplan.service.HttpHeaders]",restTemplate,1
/data/travelplan/service/TravelPlanServiceImpl.java,travelplan.service.TravelPlanServiceImpl,"getCheapest/2[travelplan.service.TripInfo,travelplan.service.HttpHeaders]",success,1
/data/travelplan/service/TravelPlanServiceImpl.java,travelplan.service.TravelPlanServiceImpl,"getCheapest/2[travelplan.service.TripInfo,travelplan.service.HttpHeaders]",cannotFind,1
/data/travelplan/service/TravelPlanServiceImpl.java,travelplan.service.TravelPlanServiceImpl,"getRoutePlanResultCheapest/2[travelplan.service.RoutePlanInfo,travelplan.service.HttpHeaders]",restTemplate,1
/data/travelplan/service/TravelPlanServiceImpl.java,travelplan.service.TravelPlanServiceImpl,"getRoutePlanResultMinStation/2[travelplan.service.RoutePlanInfo,travelplan.service.HttpHeaders]",restTemplate,1
/data/travelplan/entity/TransferTravelResult.java,travelplan.entity.TransferTravelResult,"TransferTravelResult/2[java.util.List<travelplan.entity.TripResponse>,java.util.List<travelplan.entity.TripResponse>]",firstSectionResult,3
/data/travelplan/entity/TransferTravelResult.java,travelplan.entity.TransferTravelResult,"TransferTravelResult/2[java.util.List<travelplan.entity.TripResponse>,java.util.List<travelplan.entity.TripResponse>]",secondSectionResult,3
