file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/data/travelplan/entity/TravelAdvanceResultUnit.java,travelplan.entity.TravelAdvanceResultUnit,TravelAdvanceResultUnit/0,true,36,0,3,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/data/travelplan/entity/TransferTravelInfo.java,travelplan.entity.TransferTravelInfo,"TransferTravelInfo/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",true,28,0,0,0,0,1,0,7,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11,1,0,false
/data/travelplan/entity/TransferTravelInfo.java,travelplan.entity.TransferTravelInfo,getTravelDate/0,false,36,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/data/travelplan/entity/TransferTravelInfo.java,travelplan.entity.TransferTravelInfo,TransferTravelInfo/0,true,24,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/data/travelplan/controller/TravelPlanController.java,travelplan.controller.TravelPlanController,"getByMinStation/2[travelplan.controller.TripInfo,travelplan.controller.HttpHeaders]",false,51,7,1,0,1,1,6,4,1,0,2,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,1,1,false
/data/travelplan/controller/TravelPlanController.java,travelplan.controller.TravelPlanController,"getTransferResult/2[travelplan.entity.TransferTravelInfo,travelplan.controller.HttpHeaders]",false,33,7,1,0,1,1,5,4,1,0,2,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,1,1,false
/data/travelplan/controller/TravelPlanController.java,travelplan.controller.TravelPlanController,"getByQuickest/2[travelplan.controller.TripInfo,travelplan.controller.HttpHeaders]",false,45,7,1,0,1,1,6,4,1,0,2,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,1,1,false
/data/travelplan/controller/TravelPlanController.java,travelplan.controller.TravelPlanController,home/0,false,28,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,1,0,false
/data/travelplan/controller/TravelPlanController.java,travelplan.controller.TravelPlanController,"getByCheapest/2[travelplan.controller.TripInfo,travelplan.controller.HttpHeaders]",false,39,7,1,0,1,1,6,4,1,0,2,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,1,1,false
/data/travelplan/service/TravelPlanServiceImpl.java,travelplan.service.TravelPlanServiceImpl,"getTransferSearch/2[travelplan.entity.TransferTravelInfo,travelplan.service.HttpHeaders]",false,50,7,4,0,4,1,13,28,1,9,2,13,2,3,0,0,0,0,1,1,9,0,0,0,0,0,22,1,0,false
