file,class,method,variable,usage
/data/travelplan/entity/TransferTravelInfo.java,travelplan.entity.TransferTravelInfo,"TransferTravelInfo/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",endStation,2
/data/travelplan/entity/TransferTravelInfo.java,travelplan.entity.TransferTravelInfo,"TransferTravelInfo/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",viaStation,2
/data/travelplan/entity/TransferTravelInfo.java,travelplan.entity.TransferTravelInfo,"TransferTravelInfo/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",travelDate,2
/data/travelplan/entity/TransferTravelInfo.java,travelplan.entity.TransferTravelInfo,"TransferTravelInfo/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",trainType,2
/data/travelplan/entity/TransferTravelInfo.java,travelplan.entity.TransferTravelInfo,"TransferTravelInfo/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",startStation,2
/data/travelplan/controller/TravelPlanController.java,travelplan.controller.TravelPlanController,"getByMinStation/2[travelplan.controller.TripInfo,travelplan.controller.HttpHeaders]",headers,1
/data/travelplan/controller/TravelPlanController.java,travelplan.controller.TravelPlanController,"getByMinStation/2[travelplan.controller.TripInfo,travelplan.controller.HttpHeaders]",queryInfo,4
/data/travelplan/controller/TravelPlanController.java,travelplan.controller.TravelPlanController,"getTransferResult/2[travelplan.entity.TransferTravelInfo,travelplan.controller.HttpHeaders]",headers,1
/data/travelplan/controller/TravelPlanController.java,travelplan.controller.TravelPlanController,"getTransferResult/2[travelplan.entity.TransferTravelInfo,travelplan.controller.HttpHeaders]",info,4
/data/travelplan/controller/TravelPlanController.java,travelplan.controller.TravelPlanController,"getByQuickest/2[travelplan.controller.TripInfo,travelplan.controller.HttpHeaders]",headers,1
/data/travelplan/controller/TravelPlanController.java,travelplan.controller.TravelPlanController,"getByQuickest/2[travelplan.controller.TripInfo,travelplan.controller.HttpHeaders]",queryInfo,4
/data/travelplan/controller/TravelPlanController.java,travelplan.controller.TravelPlanController,"getByCheapest/2[travelplan.controller.TripInfo,travelplan.controller.HttpHeaders]",headers,1
/data/travelplan/controller/TravelPlanController.java,travelplan.controller.TravelPlanController,"getByCheapest/2[travelplan.controller.TripInfo,travelplan.controller.HttpHeaders]",queryInfo,4
/data/travelplan/service/TravelPlanServiceImpl.java,travelplan.service.TravelPlanServiceImpl,"getTransferSearch/2[travelplan.entity.TransferTravelInfo,travelplan.service.HttpHeaders]",result,3
/data/travelplan/service/TravelPlanServiceImpl.java,travelplan.service.TravelPlanServiceImpl,"getTransferSearch/2[travelplan.entity.TransferTravelInfo,travelplan.service.HttpHeaders]",headers,4
/data/travelplan/service/TravelPlanServiceImpl.java,travelplan.service.TravelPlanServiceImpl,"getTransferSearch/2[travelplan.entity.TransferTravelInfo,travelplan.service.HttpHeaders]",secondSection,3
