file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/data/travel/init/InitData.java,travel.init.InitData,class,5,5,0,5,1,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,5,0,0,0,0,5,0,0,0,55,0,0,0,0,0,26,0,5,0,6,0,0,0,0,32,1,0
/data/travel/entity/Trip.java,travel.entity.Trip,class,11,17,6,11,3,1,0,1,0,0.2962963,1.0,1.0,3,0,3,0,0,0,3,0,0,0,9,0,0,9,0,0,0,0,0,36,0,0,0,0,0,12,1,19,0,9,0,0,0,0,18,1,0
/data/travel/entity/TripAllDetail.java,travel.entity.TripAllDetail,class,3,4,1,3,2,1,0,0,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,2,0,0,0,0,6,1,0
/data/travel/controller/TravelController.java,travel.controller.TravelController,class,21,22,1,21,23,1,0,21,0,0.07692308,0.84615386,0.84615386,13,0,13,0,0,0,13,0,0,0,2,1,0,2,0,0,1,0,0,65,15,0,10,0,0,38,4,3,0,4,1,0,0,0,66,1,14
/data/travel/entity/AdminTrip.java,travel.entity.AdminTrip,class,4,5,1,4,1,1,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,1,0
/data/travel/config/SecurityConfig.java,travel.config.SecurityConfig$Anonymous1,anonymous,1,1,0,1,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,-1,0
/data/travel/TravelApplication.java,travel.TravelApplication,class,11,12,1,11,2,1,0,2,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl$Anonymous3,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/data/travel/service/TravelService.java,travel.service.TravelService,interface,5,8,3,5,13,1,0,0,78,0.0,0.0,0.0,13,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl$Anonymous2,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/data/travel/entity/Travel.java,travel.entity.Travel,class,2,3,1,2,1,1,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,1,0
/data/travel/config/SecurityConfig.java,travel.config.SecurityConfig,class,13,13,0,13,3,2,0,15,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,11,0,0,0,0,0,1,0,0,66,1,0
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl$MyCallable,innerclass,6,6,0,6,3,1,0,10,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,5,0,0,5,0,0,0,0,0,28,1,0,1,0,0,3,0,9,0,8,1,0,0,0,23,0,3
/data/travel/repository/TripRepository.java,travel.repository.TripRepository,interface,4,5,1,4,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,class,31,33,2,31,62,1,0,103,0,0.6394558,1.0,1.0,21,1,13,8,0,0,13,0,0,0,7,2,0,5,0,2,2,0,7,433,42,7,23,2,0,69,36,101,21,99,3,3,1,0,156,1,33
