file,class,method,variable,usage
/data/travel/init/InitData.java,travel.init.InitData,run/1[java.lang.String[]],suzhou,5
/data/travel/init/InitData.java,travel.init.InitData,run/1[java.lang.String[]],service,5
/data/travel/init/InitData.java,travel.init.InitData,run/1[java.lang.String[]],gaoTieOne,3
/data/travel/init/InitData.java,travel.init.InitData,run/1[java.lang.String[]],shanghai,5
/data/travel/init/InitData.java,travel.init.InitData,run/1[java.lang.String[]],taiyuan,5
/data/travel/entity/Trip.java,travel.entity.Trip,"Trip/3[travel.entity.TripId,java.lang.String,java.lang.String]",routeId,3
/data/travel/entity/Trip.java,travel.entity.Trip,"Trip/3[travel.entity.TripId,java.lang.String,java.lang.String]",terminalStationName,1
/data/travel/entity/Trip.java,travel.entity.Trip,"Trip/3[travel.entity.TripId,java.lang.String,java.lang.String]",tripId,3
/data/travel/entity/Trip.java,travel.entity.Trip,"Trip/3[travel.entity.TripId,java.lang.String,java.lang.String]",startTime,1
/data/travel/entity/Trip.java,travel.entity.Trip,"Trip/3[travel.entity.TripId,java.lang.String,java.lang.String]",endTime,1
/data/travel/entity/Trip.java,travel.entity.Trip,"Trip/3[travel.entity.TripId,java.lang.String,java.lang.String]",trainTypeName,3
/data/travel/entity/Trip.java,travel.entity.Trip,"Trip/3[travel.entity.TripId,java.lang.String,java.lang.String]",startStationName,1
/data/travel/entity/Trip.java,travel.entity.Trip,"Trip/7[edu.fudan.common.entity.TripId,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",terminalStationName,3
/data/travel/entity/Trip.java,travel.entity.Trip,"Trip/7[edu.fudan.common.entity.TripId,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",stationsName,3
/data/travel/entity/Trip.java,travel.entity.Trip,"Trip/7[edu.fudan.common.entity.TripId,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",tripId,3
/data/travel/entity/Trip.java,travel.entity.Trip,"Trip/7[edu.fudan.common.entity.TripId,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",startTime,3
/data/travel/entity/Trip.java,travel.entity.Trip,"Trip/7[edu.fudan.common.entity.TripId,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",endTime,3
/data/travel/entity/Trip.java,travel.entity.Trip,"Trip/7[edu.fudan.common.entity.TripId,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",trainTypeName,3
/data/travel/entity/Trip.java,travel.entity.Trip,"Trip/7[edu.fudan.common.entity.TripId,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",startStationName,3
/data/travel/entity/Trip.java,travel.entity.Trip,Trip/0,terminalStationName,1
/data/travel/entity/Trip.java,travel.entity.Trip,Trip/0,startTime,1
/data/travel/entity/Trip.java,travel.entity.Trip,Trip/0,endTime,1
/data/travel/entity/Trip.java,travel.entity.Trip,Trip/0,trainTypeName,1
/data/travel/entity/Trip.java,travel.entity.Trip,Trip/0,startStationName,1
/data/travel/entity/TripAllDetail.java,travel.entity.TripAllDetail,"TripAllDetail/2[travel.entity.TripResponse,travel.entity.Trip]",tripResponse,3
/data/travel/entity/TripAllDetail.java,travel.entity.TripAllDetail,"TripAllDetail/2[travel.entity.TripResponse,travel.entity.Trip]",trip,3
/data/travel/controller/TravelController.java,travel.controller.TravelController,"getRouteByTripId/2[java.lang.String,travel.controller.HttpHeaders]",travelService,1
/data/travel/controller/TravelController.java,travel.controller.TravelController,"updateTrip/2[travel.controller.TravelInfo,travel.controller.HttpHeaders]",travelService,1
/data/travel/controller/TravelController.java,travel.controller.TravelController,"deleteTrip/2[java.lang.String,travel.controller.HttpHeaders]",travelService,1
/data/travel/controller/TravelController.java,travel.controller.TravelController,"retrieve/2[java.lang.String,travel.controller.HttpHeaders]",travelService,1
/data/travel/controller/TravelController.java,travel.controller.TravelController,"getTripAllDetailInfo/2[travel.controller.TripAllDetailInfo,travel.controller.HttpHeaders]",travelService,1
/data/travel/controller/TravelController.java,travel.controller.TravelController,"getTrainTypeByTripId/2[java.lang.String,travel.controller.HttpHeaders]",travelService,1
/data/travel/controller/TravelController.java,travel.controller.TravelController,"queryInfo/2[travel.controller.TripInfo,travel.controller.HttpHeaders]",travelService,1
/data/travel/controller/TravelController.java,travel.controller.TravelController,"queryInfoInparallel/2[travel.controller.TripInfo,travel.controller.HttpHeaders]",travelService,1
/data/travel/controller/TravelController.java,travel.controller.TravelController,"getTripsByRouteId/2[java.util.ArrayList<java.lang.String>,travel.controller.HttpHeaders]",travelService,1
/data/travel/controller/TravelController.java,travel.controller.TravelController,queryAll/1[travel.controller.HttpHeaders],travelService,1
/data/travel/controller/TravelController.java,travel.controller.TravelController,"createTrip/2[travel.controller.TravelInfo,travel.controller.HttpHeaders]",travelService,1
/data/travel/controller/TravelController.java,travel.controller.TravelController,adminQueryAll/1[travel.controller.HttpHeaders],travelService,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl$MyCallable,"MyCallable/5[travel.service.TripInfo,java.lang.String,java.lang.String,travel.entity.Trip,travel.service.HttpHeaders]",startPlaceName,3
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl$MyCallable,"MyCallable/5[travel.service.TripInfo,java.lang.String,java.lang.String,travel.entity.Trip,travel.service.HttpHeaders]",headers,3
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl$MyCallable,"MyCallable/5[travel.service.TripInfo,java.lang.String,java.lang.String,travel.entity.Trip,travel.service.HttpHeaders]",tempTrip,3
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl$MyCallable,"MyCallable/5[travel.service.TripInfo,java.lang.String,java.lang.String,travel.entity.Trip,travel.service.HttpHeaders]",endPlaceName,3
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl$MyCallable,"MyCallable/5[travel.service.TripInfo,java.lang.String,java.lang.String,travel.entity.Trip,travel.service.HttpHeaders]",info,3
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl$MyCallable,call/0,headers,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl$MyCallable,call/0,tempTrip,7
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl$MyCallable,call/0,info,5
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,"update/2[travel.service.TravelInfo,travel.service.HttpHeaders]",repository,2
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,"retrieve/2[java.lang.String,travel.service.HttpHeaders]",repository,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,"create/2[travel.service.TravelInfo,travel.service.HttpHeaders]",repository,2
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,"delete/2[java.lang.String,travel.service.HttpHeaders]",repository,2
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,"getRouteByRouteId/2[java.lang.String,travel.service.HttpHeaders]",restTemplate,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,"query/2[travel.service.TripInfo,travel.service.HttpHeaders]",success,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,"query/2[travel.service.TripInfo,travel.service.HttpHeaders]",repository,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,"getTrainTypeByName/2[java.lang.String,travel.service.HttpHeaders]",restTemplate,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,queryAll/1[travel.service.HttpHeaders],noContent,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,queryAll/1[travel.service.HttpHeaders],success,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,queryAll/1[travel.service.HttpHeaders],repository,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,"getTickets/6[travel.entity.Trip,travel.service.Route,java.lang.String,java.lang.String,java.lang.String,travel.service.HttpHeaders]",restTemplate,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,"getTripAllDetailInfo/2[travel.service.TripAllDetailInfo,travel.service.HttpHeaders]",success,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,"getTripAllDetailInfo/2[travel.service.TripAllDetailInfo,travel.service.HttpHeaders]",repository,2
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,"getRestTicketNumber/8[java.lang.String,java.lang.String,java.lang.String,java.lang.String,int,int,java.util.List<java.lang.String>,travel.service.HttpHeaders]",restTemplate,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,"queryByBatch/2[travel.service.TripInfo,travel.service.HttpHeaders]",success,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,"queryByBatch/2[travel.service.TripInfo,travel.service.HttpHeaders]",repository,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,"getTripByRoute/2[java.util.ArrayList<java.lang.String>,travel.service.HttpHeaders]",noContent,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,"getTripByRoute/2[java.util.ArrayList<java.lang.String>,travel.service.HttpHeaders]",success,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,"getTripByRoute/2[java.util.ArrayList<java.lang.String>,travel.service.HttpHeaders]",repository,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,adminQueryAll/1[travel.service.HttpHeaders],noContent,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,adminQueryAll/1[travel.service.HttpHeaders],success,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,adminQueryAll/1[travel.service.HttpHeaders],repository,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,"getRouteByTripId/2[java.lang.String,travel.service.HttpHeaders]",noContent,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,"getRouteByTripId/2[java.lang.String,travel.service.HttpHeaders]",success,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,"getRouteByTripId/2[java.lang.String,travel.service.HttpHeaders]",repository,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,"getTicketsByBatch/5[java.util.List<travel.entity.Trip>,java.lang.String,java.lang.String,java.lang.String,travel.service.HttpHeaders]",restTemplate,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,"queryInParallel/2[travel.service.TripInfo,travel.service.HttpHeaders]",executorService,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,"queryInParallel/2[travel.service.TripInfo,travel.service.HttpHeaders]",success,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,"queryInParallel/2[travel.service.TripInfo,travel.service.HttpHeaders]",repository,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,"getTrainTypeByTripId/2[java.lang.String,travel.service.HttpHeaders]",noContent,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,"getTrainTypeByTripId/2[java.lang.String,travel.service.HttpHeaders]",success,1
/data/travel/service/TravelServiceImpl.java,travel.service.TravelServiceImpl,"getTrainTypeByTripId/2[java.lang.String,travel.service.HttpHeaders]",repository,1
