file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/data/travel/init/InitData.java,travel.init.InitData,run/1[java.lang.String[]],false,26,2,1,0,1,1,9,48,0,1,1,9,0,0,0,0,0,0,22,0,1,0,0,0,0,0,24,1,0,false
/data/travel/entity/Trip.java,travel.entity.Trip,"Trip/3[travel.entity.TripId,java.lang.String,java.lang.String]",true,67,1,0,0,0,1,0,9,0,0,3,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,7,1,0,false
/data/travel/entity/Trip.java,travel.entity.Trip,"Trip/7[edu.fudan.common.entity.TripId,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",true,57,1,1,1,0,1,1,9,0,0,7,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,12,1,0,false
/data/travel/entity/Trip.java,travel.entity.Trip,Trip/0,true,77,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,1,1,0,false
/data/travel/entity/TripAllDetail.java,travel.entity.TripAllDetail,TripAllDetail/0,true,17,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/data/travel/entity/TripAllDetail.java,travel.entity.TripAllDetail,"TripAllDetail/2[travel.entity.TripResponse,travel.entity.Trip]",true,20,2,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
/data/travel/controller/TravelController.java,travel.controller.TravelController,"getRouteByTripId/2[java.lang.String,travel.controller.HttpHeaders]",false,52,6,1,0,1,1,3,4,1,0,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,1,1,false
/data/travel/controller/TravelController.java,travel.controller.TravelController,"updateTrip/2[travel.controller.TravelInfo,travel.controller.HttpHeaders]",false,91,8,1,0,1,1,4,4,1,0,2,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,1,1,false
/data/travel/controller/TravelController.java,travel.controller.TravelController,"deleteTrip/2[java.lang.String,travel.controller.HttpHeaders]",false,99,7,1,0,1,1,3,4,1,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,1,1,false
/data/travel/controller/TravelController.java,travel.controller.TravelController,"retrieve/2[java.lang.String,travel.controller.HttpHeaders]",false,83,7,1,0,1,1,3,4,1,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1,1,true
/data/travel/controller/TravelController.java,travel.controller.TravelController,"getTripAllDetailInfo/2[travel.controller.TripAllDetailInfo,travel.controller.HttpHeaders]",false,156,8,1,0,1,1,4,4,1,0,2,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,22,1,1,true
/data/travel/controller/TravelController.java,travel.controller.TravelController,"getTrainTypeByTripId/2[java.lang.String,travel.controller.HttpHeaders]",false,44,6,1,0,1,1,3,4,1,0,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,1,1,false
/data/travel/controller/TravelController.java,travel.controller.TravelController,home/1[travel.controller.HttpHeaders],false,38,3,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,1,0,false
/data/travel/controller/TravelController.java,travel.controller.TravelController,"queryInfo/2[travel.controller.TripInfo,travel.controller.HttpHeaders]",false,114,9,1,0,1,6,7,9,2,1,2,7,0,0,0,5,0,0,4,2,1,0,1,0,0,0,23,1,2,true
