file,class,method,variable,usage
/data/travel/init/InitData.java,travel.init.InitData,run/1[java.lang.String[]],args,0
/data/travel/init/InitData.java,travel.init.InitData,run/1[java.lang.String[]],info,45
/data/travel/entity/Trip.java,travel.entity.Trip,"Trip/3[travel.entity.TripId,java.lang.String,java.lang.String]",routeId,2
/data/travel/entity/Trip.java,travel.entity.Trip,"Trip/3[travel.entity.TripId,java.lang.String,java.lang.String]",tripId,2
/data/travel/entity/Trip.java,travel.entity.Trip,"Trip/3[travel.entity.TripId,java.lang.String,java.lang.String]",trainTypeName,2
/data/travel/entity/Trip.java,travel.entity.Trip,"Trip/7[edu.fudan.common.entity.TripId,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",terminalStationName,2
/data/travel/entity/Trip.java,travel.entity.Trip,"Trip/7[edu.fudan.common.entity.TripId,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",stationsName,2
/data/travel/entity/Trip.java,travel.entity.Trip,"Trip/7[edu.fudan.common.entity.TripId,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",tripId,2
/data/travel/entity/Trip.java,travel.entity.Trip,"Trip/7[edu.fudan.common.entity.TripId,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",startTime,2
/data/travel/entity/Trip.java,travel.entity.Trip,"Trip/7[edu.fudan.common.entity.TripId,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",endTime,2
/data/travel/entity/Trip.java,travel.entity.Trip,"Trip/7[edu.fudan.common.entity.TripId,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",trainTypeName,2
/data/travel/entity/Trip.java,travel.entity.Trip,"Trip/7[edu.fudan.common.entity.TripId,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",startStationName,2
/data/travel/entity/TripAllDetail.java,travel.entity.TripAllDetail,"TripAllDetail/2[travel.entity.TripResponse,travel.entity.Trip]",tripResponse,2
/data/travel/entity/TripAllDetail.java,travel.entity.TripAllDetail,"TripAllDetail/2[travel.entity.TripResponse,travel.entity.Trip]",trip,2
/data/travel/controller/TravelController.java,travel.controller.TravelController,"getRouteByTripId/2[java.lang.String,travel.controller.HttpHeaders]",headers,1
/data/travel/controller/TravelController.java,travel.controller.TravelController,"getRouteByTripId/2[java.lang.String,travel.controller.HttpHeaders]",tripId,2
/data/travel/controller/TravelController.java,travel.controller.TravelController,"updateTrip/2[travel.controller.TravelInfo,travel.controller.HttpHeaders]",headers,1
/data/travel/controller/TravelController.java,travel.controller.TravelController,"updateTrip/2[travel.controller.TravelInfo,travel.controller.HttpHeaders]",info,3
/data/travel/controller/TravelController.java,travel.controller.TravelController,"deleteTrip/2[java.lang.String,travel.controller.HttpHeaders]",headers,1
/data/travel/controller/TravelController.java,travel.controller.TravelController,"deleteTrip/2[java.lang.String,travel.controller.HttpHeaders]",tripId,2
/data/travel/controller/TravelController.java,travel.controller.TravelController,"retrieve/2[java.lang.String,travel.controller.HttpHeaders]",headers,1
/data/travel/controller/TravelController.java,travel.controller.TravelController,"retrieve/2[java.lang.String,travel.controller.HttpHeaders]",tripId,2
/data/travel/controller/TravelController.java,travel.controller.TravelController,"getTripAllDetailInfo/2[travel.controller.TripAllDetailInfo,travel.controller.HttpHeaders]",headers,1
/data/travel/controller/TravelController.java,travel.controller.TravelController,"getTripAllDetailInfo/2[travel.controller.TripAllDetailInfo,travel.controller.HttpHeaders]",gtdi,2
/data/travel/controller/TravelController.java,travel.controller.TravelController,"getTrainTypeByTripId/2[java.lang.String,travel.controller.HttpHeaders]",headers,1
/data/travel/controller/TravelController.java,travel.controller.TravelController,"getTrainTypeByTripId/2[java.lang.String,travel.controller.HttpHeaders]",tripId,2
/data/travel/controller/TravelController.java,travel.controller.TravelController,home/1[travel.controller.HttpHeaders],headers,0
/data/travel/controller/TravelController.java,travel.controller.TravelController,"queryInfo/2[travel.controller.TripInfo,travel.controller.HttpHeaders]",headers,1
/data/travel/controller/TravelController.java,travel.controller.TravelController,"queryInfo/2[travel.controller.TripInfo,travel.controller.HttpHeaders]",errorList,1
/data/travel/controller/TravelController.java,travel.controller.TravelController,"queryInfo/2[travel.controller.TripInfo,travel.controller.HttpHeaders]",info,8
/data/travel/controller/TravelController.java,travel.controller.TravelController,"queryInfoInparallel/2[travel.controller.TripInfo,travel.controller.HttpHeaders]",headers,1
/data/travel/controller/TravelController.java,travel.controller.TravelController,"queryInfoInparallel/2[travel.controller.TripInfo,travel.controller.HttpHeaders]",errorList,1
/data/travel/controller/TravelController.java,travel.controller.TravelController,"queryInfoInparallel/2[travel.controller.TripInfo,travel.controller.HttpHeaders]",info,8
/data/travel/controller/TravelController.java,travel.controller.TravelController,"getTripsByRouteId/2[java.util.ArrayList<java.lang.String>,travel.controller.HttpHeaders]",headers,1
/data/travel/controller/TravelController.java,travel.controller.TravelController,"getTripsByRouteId/2[java.util.ArrayList<java.lang.String>,travel.controller.HttpHeaders]",routeIds,2
/data/travel/controller/TravelController.java,travel.controller.TravelController,queryAll/1[travel.controller.HttpHeaders],headers,1
/data/travel/controller/TravelController.java,travel.controller.TravelController,"createTrip/2[travel.controller.TravelInfo,travel.controller.HttpHeaders]",headers,1
/data/travel/controller/TravelController.java,travel.controller.TravelController,"createTrip/2[travel.controller.TravelInfo,travel.controller.HttpHeaders]",routeIds,2
/data/travel/controller/TravelController.java,travel.controller.TravelController,adminQueryAll/1[travel.controller.HttpHeaders],headers,1
/data/travel/config/SecurityConfig.java,travel.config.SecurityConfig$Anonymous1,addCorsMappings/1[travel.config.CorsRegistry],registry,1
/data/travel/TravelApplication.java,travel.TravelApplication,restTemplate/1[travel.RestTemplateBuilder],builder,1
/data/travel/TravelApplication.java,travel.TravelApplication,main/1[java.lang.String[]],args,1
/data/travel/service/TravelService.java,travel.service.TravelService,"query/2[travel.service.TripInfo,travel.service.HttpHeaders]",headers,0
/data/travel/service/TravelService.java,travel.service.TravelService,"query/2[travel.service.TripInfo,travel.service.HttpHeaders]",info,0
/data/travel/service/TravelService.java,travel.service.TravelService,"getTripAllDetailInfo/2[travel.service.TripAllDetailInfo,travel.service.HttpHeaders]",headers,0
/data/travel/service/TravelService.java,travel.service.TravelService,"getTripAllDetailInfo/2[travel.service.TripAllDetailInfo,travel.service.HttpHeaders]",gtdi,0
/data/travel/service/TravelService.java,travel.service.TravelService,"getTrainTypeByTripId/2[java.lang.String,travel.service.HttpHeaders]",headers,0
/data/travel/service/TravelService.java,travel.service.TravelService,"getTrainTypeByTripId/2[java.lang.String,travel.service.HttpHeaders]",tripId,0
/data/travel/service/TravelService.java,travel.service.TravelService,"retrieve/2[java.lang.String,travel.service.HttpHeaders]",headers,0
/data/travel/service/TravelService.java,travel.service.TravelService,"retrieve/2[java.lang.String,travel.service.HttpHeaders]",tripId,0
/data/travel/service/TravelService.java,travel.service.TravelService,"delete/2[java.lang.String,travel.service.HttpHeaders]",headers,0
/data/travel/service/TravelService.java,travel.service.TravelService,"delete/2[java.lang.String,travel.service.HttpHeaders]",tripId,0
/data/travel/service/TravelService.java,travel.service.TravelService,"getTripByRoute/2[java.util.ArrayList<java.lang.String>,travel.service.HttpHeaders]",headers,0
/data/travel/service/TravelService.java,travel.service.TravelService,"getTripByRoute/2[java.util.ArrayList<java.lang.String>,travel.service.HttpHeaders]",routeIds,0
/data/travel/service/TravelService.java,travel.service.TravelService,"update/2[travel.service.TravelInfo,travel.service.HttpHeaders]",headers,0
/data/travel/service/TravelService.java,travel.service.TravelService,"update/2[travel.service.TravelInfo,travel.service.HttpHeaders]",info,0
/data/travel/service/TravelService.java,travel.service.TravelService,queryAll/1[travel.service.HttpHeaders],headers,0
/data/travel/service/TravelService.java,travel.service.TravelService,adminQueryAll/1[travel.service.HttpHeaders],headers,0
/data/travel/service/TravelService.java,travel.service.TravelService,"create/2[travel.service.TravelInfo,travel.service.HttpHeaders]",headers,0
/data/travel/service/TravelService.java,travel.service.TravelService,"create/2[travel.service.TravelInfo,travel.service.HttpHeaders]",info,0
/data/travel/service/TravelService.java,travel.service.TravelService,"queryInParallel/2[travel.service.TripInfo,travel.service.HttpHeaders]",headers,0
/data/travel/service/TravelService.java,travel.service.TravelService,"queryInParallel/2[travel.service.TripInfo,travel.service.HttpHeaders]",info,0
/data/travel/service/TravelService.java,travel.service.TravelService,"getRouteByTripId/2[java.lang.String,travel.service.HttpHeaders]",headers,0
