file,class,method,variable,usage
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"queryInfo/2[edu.fudan.common.entity.TripInfo,travel2.controller.HttpHeaders]",service,1
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,queryAll/1[travel2.controller.HttpHeaders],service,1
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"retrieve/2[java.lang.String,travel2.controller.HttpHeaders]",service,1
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"deleteTrip/2[java.lang.String,travel2.controller.HttpHeaders]",service,1
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"getRouteByTripId/2[java.lang.String,travel2.controller.HttpHeaders]",service,1
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"getTripsByRouteId/2[java.util.ArrayList<java.lang.String>,travel2.controller.HttpHeaders]",service,1
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"getTrainTypeByTripId/2[java.lang.String,travel2.controller.HttpHeaders]",service,1
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"getTripAllDetailInfo/2[edu.fudan.common.entity.TripAllDetailInfo,travel2.controller.HttpHeaders]",service,1
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,adminQueryAll/1[travel2.controller.HttpHeaders],service,1
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"updateTrip/2[edu.fudan.common.entity.TravelInfo,travel2.controller.HttpHeaders]",service,1
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"createTrip/2[edu.fudan.common.entity.TravelInfo,travel2.controller.HttpHeaders]",service,1
/data/travel2/init/InitData.java,travel2.init.InitData,run/1[java.lang.String[]],zhiDa,3
/data/travel2/init/InitData.java,travel2.init.InitData,run/1[java.lang.String[]],nanjing,5
/data/travel2/init/InitData.java,travel2.init.InitData,run/1[java.lang.String[]],service,5
/data/travel2/init/InitData.java,travel2.init.InitData,run/1[java.lang.String[]],shanghai,5
/data/travel2/init/InitData.java,travel2.init.InitData,run/1[java.lang.String[]],beijing,5
/data/travel2/entity/Trip.java,travel2.entity.Trip,"Trip/3[travel2.entity.TripId,java.lang.String,java.lang.String]",routeId,3
/data/travel2/entity/Trip.java,travel2.entity.Trip,"Trip/3[travel2.entity.TripId,java.lang.String,java.lang.String]",terminalStationName,1
/data/travel2/entity/Trip.java,travel2.entity.Trip,"Trip/3[travel2.entity.TripId,java.lang.String,java.lang.String]",tripId,3
/data/travel2/entity/Trip.java,travel2.entity.Trip,"Trip/3[travel2.entity.TripId,java.lang.String,java.lang.String]",startTime,1
/data/travel2/entity/Trip.java,travel2.entity.Trip,"Trip/3[travel2.entity.TripId,java.lang.String,java.lang.String]",endTime,1
/data/travel2/entity/Trip.java,travel2.entity.Trip,"Trip/3[travel2.entity.TripId,java.lang.String,java.lang.String]",trainTypeName,3
/data/travel2/entity/Trip.java,travel2.entity.Trip,"Trip/3[travel2.entity.TripId,java.lang.String,java.lang.String]",startStationName,1
/data/travel2/entity/Trip.java,travel2.entity.Trip,"Trip/7[edu.fudan.common.entity.TripId,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",terminalStationName,3
/data/travel2/entity/Trip.java,travel2.entity.Trip,"Trip/7[edu.fudan.common.entity.TripId,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",stationsName,3
/data/travel2/entity/Trip.java,travel2.entity.Trip,"Trip/7[edu.fudan.common.entity.TripId,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",tripId,3
