file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"queryInfo/2[edu.fudan.common.entity.TripInfo,travel2.controller.HttpHeaders]",false,107,9,1,0,1,6,7,9,2,1,2,7,0,0,0,5,0,0,4,2,1,0,1,0,0,0,22,1,2,true
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,queryAll/1[travel2.controller.HttpHeaders],false,135,6,1,0,1,1,3,4,1,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,1,1,false
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"retrieve/2[java.lang.String,travel2.controller.HttpHeaders]",false,76,7,1,0,1,1,3,4,1,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1,1,true
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"deleteTrip/2[java.lang.String,travel2.controller.HttpHeaders]",false,92,7,1,0,1,1,3,4,1,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,1,1,false
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"getRouteByTripId/2[java.lang.String,travel2.controller.HttpHeaders]",false,45,6,1,0,1,1,3,4,1,0,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,1,1,false
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,home/1[travel2.controller.HttpHeaders],false,31,3,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,1,0,false
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"getTripsByRouteId/2[java.util.ArrayList<java.lang.String>,travel2.controller.HttpHeaders]",false,53,6,1,0,1,1,4,4,1,0,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,1,1,false
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"getTrainTypeByTripId/2[java.lang.String,travel2.controller.HttpHeaders]",false,37,6,1,0,1,1,3,4,1,0,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,1,1,false
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"getTripAllDetailInfo/2[edu.fudan.common.entity.TripAllDetailInfo,travel2.controller.HttpHeaders]",false,128,8,1,0,1,1,4,4,1,0,2,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,23,1,1,true
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,adminQueryAll/1[travel2.controller.HttpHeaders],false,143,6,1,0,1,1,3,4,1,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,1,1,false
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"updateTrip/2[edu.fudan.common.entity.TravelInfo,travel2.controller.HttpHeaders]",false,84,8,1,0,1,1,4,4,1,0,2,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,1,1,false
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"createTrip/2[edu.fudan.common.entity.TravelInfo,travel2.controller.HttpHeaders]",false,61,9,1,0,1,1,3,4,1,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,1,1,false
