file,class,method,variable,usage
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"queryInfo/2[edu.fudan.common.entity.TripInfo,travel2.controller.HttpHeaders]",headers,1
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"queryInfo/2[edu.fudan.common.entity.TripInfo,travel2.controller.HttpHeaders]",errorList,1
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"queryInfo/2[edu.fudan.common.entity.TripInfo,travel2.controller.HttpHeaders]",info,8
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,queryAll/1[travel2.controller.HttpHeaders],headers,1
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"retrieve/2[java.lang.String,travel2.controller.HttpHeaders]",headers,1
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"retrieve/2[java.lang.String,travel2.controller.HttpHeaders]",tripId,2
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"deleteTrip/2[java.lang.String,travel2.controller.HttpHeaders]",headers,1
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"deleteTrip/2[java.lang.String,travel2.controller.HttpHeaders]",tripId,2
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"getRouteByTripId/2[java.lang.String,travel2.controller.HttpHeaders]",headers,1
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"getRouteByTripId/2[java.lang.String,travel2.controller.HttpHeaders]",tripId,2
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,home/1[travel2.controller.HttpHeaders],headers,0
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"getTripsByRouteId/2[java.util.ArrayList<java.lang.String>,travel2.controller.HttpHeaders]",headers,1
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,"getTripsByRouteId/2[java.util.ArrayList<java.lang.String>,travel2.controller.HttpHeaders]",routeIds,2
