file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/data/user/config/SecurityConfig.java,user.config.SecurityConfig,class,13,13,0,13,3,2,0,15,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,10,0,0,0,0,0,1,0,0,66,1,0
/data/user/UserApplication.java,user.UserApplication,class,11,12,1,11,2,1,0,2,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
/data/user/repository/UserRepository.java,user.repository.UserRepository,interface,3,5,2,3,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
/data/user/dto/AuthDto.java,user.dto.AuthDto,class,4,5,1,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,13,1,0
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl,class,18,19,1,18,18,1,0,41,0,0.5277778,0.85714287,1.0,9,0,7,2,0,0,7,0,0,0,4,1,0,4,0,0,1,0,1,109,14,0,7,0,0,37,14,23,5,25,1,1,0,0,82,1,16
/data/user/dto/UserDto.java,user.dto.UserDto,class,5,8,3,5,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,12,1,0
/data/user/service/UserService.java,user.service.UserService,interface,3,6,3,3,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
/data/user/init/InitUser.java,user.init.InitUser,class,7,7,0,7,2,1,0,12,0,0.6666667,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,2,1,0,0,0,0,13,0,0,1,0,0,7,2,2,0,5,1,0,0,0,21,1,0
/data/user/config/SecurityConfig.java,user.config.SecurityConfig$Anonymous1,anonymous,1,1,0,1,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,-1,0
/data/user/entity/User.java,user.entity.User,class,6,9,3,6,1,1,0,2,0,0.85714287,NaN,NaN,1,0,1,0,0,0,1,0,0,0,7,0,0,7,0,0,0,0,1,12,0,0,0,0,0,4,1,1,0,7,0,0,0,0,13,1,0
/data/user/dto/Gender.java,user.dto.Gender,enum,1,2,1,1,6,1,0,3,0,0.375,0.6666667,1.0,4,1,3,0,0,1,4,0,0,0,2,0,0,2,0,0,0,0,1,26,4,1,1,0,0,4,5,3,0,3,2,0,0,0,25,1,0
/data/user/controller/UserController.java,user.controller.UserController,class,17,18,1,17,7,1,0,13,0,0.14285715,0.71428573,0.71428573,7,0,7,0,0,0,7,0,0,0,2,1,0,2,0,0,1,0,0,31,7,0,0,0,0,13,0,1,0,2,0,0,0,0,32,1,6
