file,class,method,variable,usage
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl,"findByUserName/2[java.lang.String,user.service.impl.HttpHeaders]",userRepository,1
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl,createDefaultAuthUser/1[user.dto.AuthDto],discoveryClient,1
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl,createDefaultAuthUser/1[user.dto.AuthDto],restTemplate,1
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl,createDefaultAuthUser/1[user.dto.AuthDto],LOGGER,3
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl,"updateUser/2[user.dto.UserDto,user.service.impl.HttpHeaders]",LOGGER,1
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl,"updateUser/2[user.dto.UserDto,user.service.impl.HttpHeaders]",userRepository,3
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl,"findByUserId/2[java.lang.String,user.service.impl.HttpHeaders]",userRepository,1
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl,"deleteUserAuth/2[java.lang.String,user.service.impl.HttpHeaders]",restTemplate,1
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl,"deleteUserAuth/2[java.lang.String,user.service.impl.HttpHeaders]",LOGGER,2
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl,getAllUsers/1[user.service.impl.HttpHeaders],userRepository,1
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl,"saveUser/2[user.dto.UserDto,user.service.impl.HttpHeaders]",LOGGER,2
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl,"saveUser/2[user.dto.UserDto,user.service.impl.HttpHeaders]",userRepository,2
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl,"deleteUser/2[java.lang.String,user.service.impl.HttpHeaders]",LOGGER,2
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl,"deleteUser/2[java.lang.String,user.service.impl.HttpHeaders]",userRepository,2
/data/user/init/InitUser.java,user.init.InitUser,run/1[java.lang.String[]],userRepository,2
/data/user/entity/User.java,user.entity.User,User/0,userId,1
/data/user/dto/Gender.java,user.dto.Gender,getCode/0,code,1
/data/user/dto/Gender.java,user.dto.Gender,getName/0,name,1
/data/user/dto/Gender.java,user.dto.Gender,"Gender/2[int,java.lang.String]",code,3
/data/user/dto/Gender.java,user.dto.Gender,"Gender/2[int,java.lang.String]",name,3
/data/user/dto/Gender.java,user.dto.Gender,getNameByCode/1[int],code,2
/data/user/controller/UserController.java,user.controller.UserController,"updateUser/2[user.dto.UserDto,user.controller.HttpHeaders]",userService,1
/data/user/controller/UserController.java,user.controller.UserController,"deleteUserById/2[java.lang.String,user.controller.HttpHeaders]",userService,1
/data/user/controller/UserController.java,user.controller.UserController,getAllUser/1[user.controller.HttpHeaders],userService,1
/data/user/controller/UserController.java,user.controller.UserController,"getUserByUserName/2[java.lang.String,user.controller.HttpHeaders]",userService,1
/data/user/controller/UserController.java,user.controller.UserController,"registerUser/2[user.dto.UserDto,user.controller.HttpHeaders]",userService,1
/data/user/controller/UserController.java,user.controller.UserController,"getUserByUserId/2[java.lang.String,user.controller.HttpHeaders]",userService,1
