file,class,method,variable,usage
/data/user/config/SecurityConfig.java,user.config.SecurityConfig,configure/1[user.config.HttpSecurity],httpSecurity,2
/data/user/UserApplication.java,user.UserApplication,restTemplate/1[user.RestTemplateBuilder],builder,1
/data/user/UserApplication.java,user.UserApplication,main/1[java.lang.String[]],args,1
/data/user/repository/UserRepository.java,user.repository.UserRepository,findByUserName/1[java.lang.String],userName,0
/data/user/repository/UserRepository.java,user.repository.UserRepository,deleteByUserId/1[java.lang.String],userId,0
/data/user/repository/UserRepository.java,user.repository.UserRepository,findByUserId/1[java.lang.String],userId,0
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl,"findByUserName/2[java.lang.String,user.service.impl.HttpHeaders]",headers,0
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl,"findByUserName/2[java.lang.String,user.service.impl.HttpHeaders]",userName,2
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl,"findByUserName/2[java.lang.String,user.service.impl.HttpHeaders]",user,2
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl,createDefaultAuthUser/1[user.dto.AuthDto],headers,0
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl,createDefaultAuthUser/1[user.dto.AuthDto],res,1
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl,createDefaultAuthUser/1[user.dto.AuthDto],auth_service_url,1
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl,createDefaultAuthUser/1[user.dto.AuthDto],auth_svcs,2
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl,createDefaultAuthUser/1[user.dto.AuthDto],auth_svc,2
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl,createDefaultAuthUser/1[user.dto.AuthDto],dto,2
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl,createDefaultAuthUser/1[user.dto.AuthDto],entity,1
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl,"updateUser/2[user.dto.UserDto,user.service.impl.HttpHeaders]",headers,0
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl,"updateUser/2[user.dto.UserDto,user.service.impl.HttpHeaders]",newUser,2
/data/user/service/impl/UserServiceImpl.java,user.service.impl.UserServiceImpl,"updateUser/2[user.dto.UserDto,user.service.impl.HttpHeaders]",oldUser,3
