file,class,method,variable,usage
/data/verifycode/controller/VerifyCodeController.java,verifycode.controller.VerifyCodeController,"verifyCode/4[java.lang.String,verifycode.controller.HttpServletRequest,verifycode.controller.HttpServletResponse,verifycode.controller.HttpHeaders]",LOGGER,2
/data/verifycode/controller/VerifyCodeController.java,verifycode.controller.VerifyCodeController,"verifyCode/4[java.lang.String,verifycode.controller.HttpServletRequest,verifycode.controller.HttpServletResponse,verifycode.controller.HttpHeaders]",verifyCodeService,1
/data/verifycode/controller/VerifyCodeController.java,verifycode.controller.VerifyCodeController,"imageCode/3[verifycode.controller.HttpHeaders,verifycode.controller.HttpServletRequest,verifycode.controller.HttpServletResponse]",verifyCodeService,1
/data/verifycode/service/impl/VerifyCodeServiceImpl.java,verifycode.service.impl.VerifyCodeServiceImpl,"getImageCode/6[int,int,java.io.OutputStream,verifycode.service.impl.HttpServletRequest,verifycode.service.impl.HttpServletResponse,verifycode.service.impl.HttpHeaders]",cacheCode,1
/data/verifycode/service/impl/VerifyCodeServiceImpl.java,verifycode.service.impl.VerifyCodeServiceImpl,"getImageCode/6[int,int,java.io.OutputStream,verifycode.service.impl.HttpServletRequest,verifycode.service.impl.HttpServletResponse,verifycode.service.impl.HttpHeaders]",mapTable,1
/data/verifycode/service/impl/VerifyCodeServiceImpl.java,verifycode.service.impl.VerifyCodeServiceImpl,"getImageCode/6[int,int,java.io.OutputStream,verifycode.service.impl.HttpServletRequest,verifycode.service.impl.HttpServletResponse,verifycode.service.impl.HttpHeaders]",ysbCaptcha,3
/data/verifycode/service/impl/VerifyCodeServiceImpl.java,verifycode.service.impl.VerifyCodeServiceImpl,"getImageCode/6[int,int,java.io.OutputStream,verifycode.service.impl.HttpServletRequest,verifycode.service.impl.HttpServletResponse,verifycode.service.impl.HttpHeaders]",CAPTCHA_EXPIRED,2
/data/verifycode/service/impl/VerifyCodeServiceImpl.java,verifycode.service.impl.VerifyCodeServiceImpl,"verifyCode/4[verifycode.service.impl.HttpServletRequest,verifycode.service.impl.HttpServletResponse,java.lang.String,verifycode.service.impl.HttpHeaders]",cacheCode,1
/data/verifycode/service/impl/VerifyCodeServiceImpl.java,verifycode.service.impl.VerifyCodeServiceImpl,"verifyCode/4[verifycode.service.impl.HttpServletRequest,verifycode.service.impl.HttpServletResponse,java.lang.String,verifycode.service.impl.HttpHeaders]",LOGGER,1
/data/verifycode/service/impl/VerifyCodeServiceImpl.java,verifycode.service.impl.VerifyCodeServiceImpl,"verifyCode/4[verifycode.service.impl.HttpServletRequest,verifycode.service.impl.HttpServletResponse,java.lang.String,verifycode.service.impl.HttpHeaders]",ysbCaptcha,2
/data/verifycode/service/impl/VerifyCodeServiceImpl.java,verifycode.service.impl.VerifyCodeServiceImpl,"verifyCode/4[verifycode.service.impl.HttpServletRequest,verifycode.service.impl.HttpServletResponse,java.lang.String,verifycode.service.impl.HttpHeaders]",CAPTCHA_EXPIRED,1
