file,class,method,variable,usage
/data/verifycode/util/CookieUtil.java,verifycode.util.CookieUtil,readCookieMap/1[verifycode.util.HttpServletRequest],request,1
/data/verifycode/util/CookieUtil.java,verifycode.util.CookieUtil,readCookieMap/1[verifycode.util.HttpServletRequest],cookieMap,2
/data/verifycode/util/CookieUtil.java,verifycode.util.CookieUtil,readCookieMap/1[verifycode.util.HttpServletRequest],cookie,2
/data/verifycode/util/CookieUtil.java,verifycode.util.CookieUtil,readCookieMap/1[verifycode.util.HttpServletRequest],cookies,2
/data/verifycode/util/CookieUtil.java,verifycode.util.CookieUtil,"addCookie/4[verifycode.util.HttpServletResponse,java.lang.String,java.lang.String,int]",cookie,4
/data/verifycode/util/CookieUtil.java,verifycode.util.CookieUtil,"addCookie/4[verifycode.util.HttpServletResponse,java.lang.String,java.lang.String,int]",maxAge,2
/data/verifycode/util/CookieUtil.java,verifycode.util.CookieUtil,"addCookie/4[verifycode.util.HttpServletResponse,java.lang.String,java.lang.String,int]",response,1
/data/verifycode/util/CookieUtil.java,verifycode.util.CookieUtil,"addCookie/4[verifycode.util.HttpServletResponse,java.lang.String,java.lang.String,int]",name,1
/data/verifycode/util/CookieUtil.java,verifycode.util.CookieUtil,"addCookie/4[verifycode.util.HttpServletResponse,java.lang.String,java.lang.String,int]",value,1
/data/verifycode/util/CookieUtil.java,verifycode.util.CookieUtil,"getCookieByName/2[verifycode.util.HttpServletRequest,java.lang.String]",request,1
/data/verifycode/util/CookieUtil.java,verifycode.util.CookieUtil,"getCookieByName/2[verifycode.util.HttpServletRequest,java.lang.String]",cookieMap,1
/data/verifycode/util/CookieUtil.java,verifycode.util.CookieUtil,"getCookieByName/2[verifycode.util.HttpServletRequest,java.lang.String]",name,1
/data/verifycode/controller/VerifyCodeController.java,verifycode.controller.VerifyCodeController,"verifyCode/4[java.lang.String,verifycode.controller.HttpServletRequest,verifycode.controller.HttpServletResponse,verifycode.controller.HttpHeaders]",result,1
/data/verifycode/controller/VerifyCodeController.java,verifycode.controller.VerifyCodeController,"verifyCode/4[java.lang.String,verifycode.controller.HttpServletRequest,verifycode.controller.HttpServletResponse,verifycode.controller.HttpHeaders]",request,1
/data/verifycode/controller/VerifyCodeController.java,verifycode.controller.VerifyCodeController,"verifyCode/4[java.lang.String,verifycode.controller.HttpServletRequest,verifycode.controller.HttpServletResponse,verifycode.controller.HttpHeaders]",headers,1
/data/verifycode/controller/VerifyCodeController.java,verifycode.controller.VerifyCodeController,"verifyCode/4[java.lang.String,verifycode.controller.HttpServletRequest,verifycode.controller.HttpServletResponse,verifycode.controller.HttpHeaders]",verifyCode,3
/data/verifycode/controller/VerifyCodeController.java,verifycode.controller.VerifyCodeController,"verifyCode/4[java.lang.String,verifycode.controller.HttpServletRequest,verifycode.controller.HttpServletResponse,verifycode.controller.HttpHeaders]",response,1
/data/verifycode/controller/VerifyCodeController.java,verifycode.controller.VerifyCodeController,"imageCode/3[verifycode.controller.HttpHeaders,verifycode.controller.HttpServletRequest,verifycode.controller.HttpServletResponse]",headers,1
/data/verifycode/controller/VerifyCodeController.java,verifycode.controller.VerifyCodeController,"imageCode/3[verifycode.controller.HttpHeaders,verifycode.controller.HttpServletRequest,verifycode.controller.HttpServletResponse]",request,3
/data/verifycode/controller/VerifyCodeController.java,verifycode.controller.VerifyCodeController,"imageCode/3[verifycode.controller.HttpHeaders,verifycode.controller.HttpServletRequest,verifycode.controller.HttpServletResponse]",os,3
/data/verifycode/controller/VerifyCodeController.java,verifycode.controller.VerifyCodeController,"imageCode/3[verifycode.controller.HttpHeaders,verifycode.controller.HttpServletRequest,verifycode.controller.HttpServletResponse]",e,0
