file,class,method,variable,usage
/data/waitorder/config/SecurityConfig.java,waitorder.config.SecurityConfig,configure/1[waitorder.config.HttpSecurity],admin,5
/data/waitorder/config/SecurityConfig.java,waitorder.config.SecurityConfig,configure/1[waitorder.config.HttpSecurity],order,3
/data/waitorder/entity/WaitListOrderVO.java,waitorder.entity.WaitListOrderVO,setDate/1[java.util.Date],date,3
/data/waitorder/entity/WaitListOrderVO.java,waitorder.entity.WaitListOrderVO,getDate/0,date,1
/data/waitorder/entity/WaitListOrderStatus.java,waitorder.entity.WaitListOrderStatus,getName/0,name,1
/data/waitorder/entity/WaitListOrderStatus.java,waitorder.entity.WaitListOrderStatus,getNameByCode/1[int],code,2
/data/waitorder/entity/WaitListOrderStatus.java,waitorder.entity.WaitListOrderStatus,"WaitListOrderStatus/2[int,java.lang.String]",code,3
/data/waitorder/entity/WaitListOrderStatus.java,waitorder.entity.WaitListOrderStatus,"WaitListOrderStatus/2[int,java.lang.String]",name,3
/data/waitorder/entity/WaitListOrderStatus.java,waitorder.entity.WaitListOrderStatus,getCode/0,code,1
/data/waitorder/service/Impl/WaitListOrderServiceImpl.java,waitorder.service.Impl.WaitListOrderServiceImpl,getAllOrders/1[waitorder.service.Impl.HttpHeaders],waitListOrderRepository,1
/data/waitorder/service/Impl/WaitListOrderServiceImpl.java,waitorder.service.Impl.WaitListOrderServiceImpl,getAllOrders/1[waitorder.service.Impl.HttpHeaders],LOGGER,1
/data/waitorder/service/Impl/WaitListOrderServiceImpl.java,waitorder.service.Impl.WaitListOrderServiceImpl,"updateOrder/2[waitorder.entity.WaitListOrder,waitorder.service.Impl.HttpHeaders]",waitListOrderRepository,2
/data/waitorder/service/Impl/WaitListOrderServiceImpl.java,waitorder.service.Impl.WaitListOrderServiceImpl,"updateOrder/2[waitorder.entity.WaitListOrder,waitorder.service.Impl.HttpHeaders]",LOGGER,3
/data/waitorder/service/Impl/WaitListOrderServiceImpl.java,waitorder.service.Impl.WaitListOrderServiceImpl,getAllWaitListOrders/1[waitorder.service.Impl.HttpHeaders],waitListOrderRepository,1
/data/waitorder/service/Impl/WaitListOrderServiceImpl.java,waitorder.service.Impl.WaitListOrderServiceImpl,getAllWaitListOrders/1[waitorder.service.Impl.HttpHeaders],LOGGER,1
/data/waitorder/service/Impl/WaitListOrderServiceImpl.java,waitorder.service.Impl.WaitListOrderServiceImpl,"create/2[waitorder.entity.WaitListOrderVO,waitorder.service.Impl.HttpHeaders]",LOGGER,1
/data/waitorder/service/Impl/WaitListOrderServiceImpl.java,waitorder.service.Impl.WaitListOrderServiceImpl,"findOrderById/2[java.lang.String,waitorder.service.Impl.HttpHeaders]",success,1
/data/waitorder/service/Impl/WaitListOrderServiceImpl.java,waitorder.service.Impl.WaitListOrderServiceImpl,"findOrderById/2[java.lang.String,waitorder.service.Impl.HttpHeaders]",waitListOrderRepository,1
/data/waitorder/service/Impl/WaitListOrderServiceImpl.java,waitorder.service.Impl.WaitListOrderServiceImpl,"findOrderById/2[java.lang.String,waitorder.service.Impl.HttpHeaders]",LOGGER,2
/data/waitorder/service/Impl/WaitListOrderServiceImpl.java,waitorder.service.Impl.WaitListOrderServiceImpl,"saveNewOrder/2[waitorder.entity.WaitListOrderVO,waitorder.service.Impl.HttpHeaders]",success,1
/data/waitorder/service/Impl/WaitListOrderServiceImpl.java,waitorder.service.Impl.WaitListOrderServiceImpl,"saveNewOrder/2[waitorder.entity.WaitListOrderVO,waitorder.service.Impl.HttpHeaders]",waitListOrderRepository,2
/data/waitorder/service/Impl/WaitListOrderServiceImpl.java,waitorder.service.Impl.WaitListOrderServiceImpl,"modifyWaitListOrderStatus/2[int,java.lang.String]",waitListOrderRepository,2
/data/waitorder/service/Impl/WaitListOrderServiceImpl.java,waitorder.service.Impl.WaitListOrderServiceImpl,"modifyWaitListOrderStatus/2[int,java.lang.String]",LOGGER,3
/data/waitorder/service/Impl/WaitListOrderServiceImpl.java,waitorder.service.Impl.WaitListOrderServiceImpl,"triggerThread/3[waitorder.entity.WaitListOrder,waitorder.entity.WaitListOrderVO,waitorder.service.Impl.HttpHeaders]",restTemplate,1
/data/waitorder/controller/WaitListOrderController.java,waitorder.controller.WaitListOrderController,"createNewOrder/2[waitorder.entity.WaitListOrderVO,waitorder.controller.HttpHeaders]",waitListOrderService,1
/data/waitorder/controller/WaitListOrderController.java,waitorder.controller.WaitListOrderController,getAllOrders/1[waitorder.controller.HttpHeaders],LOGGER,1
/data/waitorder/controller/WaitListOrderController.java,waitorder.controller.WaitListOrderController,getAllOrders/1[waitorder.controller.HttpHeaders],waitListOrderService,1
/data/waitorder/controller/WaitListOrderController.java,waitorder.controller.WaitListOrderController,getWaitListOrders/1[waitorder.controller.HttpHeaders],LOGGER,1
/data/waitorder/controller/WaitListOrderController.java,waitorder.controller.WaitListOrderController,getWaitListOrders/1[waitorder.controller.HttpHeaders],waitListOrderService,1
/data/waitorder/entity/WaitListOrder.java,waitorder.entity.WaitListOrder,getWaitUtilTime/0,waitUtilTime,1
/data/waitorder/entity/WaitListOrder.java,waitorder.entity.WaitListOrder,setWaitUntilTime/1[java.util.Date],waitUtilTime,1
/data/waitorder/entity/WaitListOrder.java,waitorder.entity.WaitListOrder,WaitListOrder/0,travelTime,1
/data/waitorder/entity/WaitListOrder.java,waitorder.entity.WaitListOrder,WaitListOrder/0,createdTime,1
/data/waitorder/entity/WaitListOrder.java,waitorder.entity.WaitListOrder,WaitListOrder/0,waitUtilTime,1
/data/waitorder/entity/WaitListOrder.java,waitorder.entity.WaitListOrder,WaitListOrder/0,status,1
/data/waitorder/entity/WaitListOrder.java,waitorder.entity.WaitListOrder,setCreatedTime/1[java.util.Date],createdTime,3
/data/waitorder/entity/WaitListOrder.java,waitorder.entity.WaitListOrder,hashCode/0,id,2
/data/waitorder/entity/WaitListOrder.java,waitorder.entity.WaitListOrder,setTravelTime/1[java.util.Date],travelTime,2
/data/waitorder/entity/WaitListOrder.java,waitorder.entity.WaitListOrder,setTravelTime/1[java.util.Date],createdTime,1
/data/waitorder/entity/WaitListOrder.java,waitorder.entity.WaitListOrder,getCreatedTime/0,createdTime,1
/data/waitorder/entity/WaitListOrder.java,waitorder.entity.WaitListOrder,getTravelTime/0,createdTime,1
/data/waitorder/utils/PollThread.java,waitorder.utils.PollThread,"doPreserve/2[java.lang.String,waitorder.utils.HttpEntity]",restTemplate,1
/data/waitorder/utils/PollThread.java,waitorder.utils.PollThread,"PollThread/5[java.util.Date,waitorder.service.WaitListOrderService,waitorder.entity.WaitListOrderVO,waitorder.utils.RestTemplate,waitorder.utils.HttpHeaders]",waitListOrderVO,1
/data/waitorder/utils/PollThread.java,waitorder.utils.PollThread,"PollThread/5[java.util.Date,waitorder.service.WaitListOrderService,waitorder.entity.WaitListOrderVO,waitorder.utils.RestTemplate,waitorder.utils.HttpHeaders]",restTemplate,1
/data/waitorder/utils/PollThread.java,waitorder.utils.PollThread,"PollThread/5[java.util.Date,waitorder.service.WaitListOrderService,waitorder.entity.WaitListOrderVO,waitorder.utils.RestTemplate,waitorder.utils.HttpHeaders]",waitListOrderService,1
/data/waitorder/utils/PollThread.java,waitorder.utils.PollThread,"PollThread/5[java.util.Date,waitorder.service.WaitListOrderService,waitorder.entity.WaitListOrderVO,waitorder.utils.RestTemplate,waitorder.utils.HttpHeaders]",waitUntil,1
/data/waitorder/utils/PollThread.java,waitorder.utils.PollThread,"PollThread/5[java.util.Date,waitorder.service.WaitListOrderService,waitorder.entity.WaitListOrderVO,waitorder.utils.RestTemplate,waitorder.utils.HttpHeaders]",httpHeaders,1
/data/waitorder/utils/PollThread.java,waitorder.utils.PollThread,run/0,waitListOrderVO,3
/data/waitorder/utils/PollThread.java,waitorder.utils.PollThread,run/0,waitUntil,1
/data/waitorder/utils/PollThread.java,waitorder.utils.PollThread,run/0,waitListOrderService,2
/data/waitorder/utils/PollThread.java,waitorder.utils.PollThread,run/0,INTERVAL_MINUTES,1
/data/waitorder/utils/PollThread.java,waitorder.utils.PollThread,run/0,httpHeaders,1
