file,class,method,variable,usage
/data/waitorder/repository/WaitListOrderRepository.java,waitorder.repository.WaitListOrderRepository,findById/1[java.lang.String],id,0
/data/waitorder/repository/WaitListOrderRepository.java,waitorder.repository.WaitListOrderRepository,deleteById/1[java.lang.String],id,0
/data/waitorder/repository/WaitListOrderRepository.java,waitorder.repository.WaitListOrderRepository,findByAccountId/1[java.lang.String],accountId,0
/data/waitorder/WaitOrderApplication.java,waitorder.WaitOrderApplication,restTemplate/1[waitorder.RestTemplateBuilder],builder,1
/data/waitorder/WaitOrderApplication.java,waitorder.WaitOrderApplication,main/1[java.lang.String[]],args,1
/data/waitorder/service/WaitListOrderService.java,waitorder.service.WaitListOrderService,"create/2[waitorder.entity.WaitListOrderVO,waitorder.service.HttpHeaders]",headers,0
/data/waitorder/service/WaitListOrderService.java,waitorder.service.WaitListOrderService,"create/2[waitorder.entity.WaitListOrderVO,waitorder.service.HttpHeaders]",newOrder,0
/data/waitorder/service/WaitListOrderService.java,waitorder.service.WaitListOrderService,"modifyWaitListOrderStatus/2[int,java.lang.String]",orderId,0
/data/waitorder/service/WaitListOrderService.java,waitorder.service.WaitListOrderService,"modifyWaitListOrderStatus/2[int,java.lang.String]",status,0
/data/waitorder/service/WaitListOrderService.java,waitorder.service.WaitListOrderService,getAllWaitListOrders/1[waitorder.service.HttpHeaders],headers,0
/data/waitorder/service/WaitListOrderService.java,waitorder.service.WaitListOrderService,getAllOrders/1[waitorder.service.HttpHeaders],headers,0
/data/waitorder/service/WaitListOrderService.java,waitorder.service.WaitListOrderService,"findOrderById/2[java.lang.String,waitorder.service.HttpHeaders]",headers,0
/data/waitorder/service/WaitListOrderService.java,waitorder.service.WaitListOrderService,"findOrderById/2[java.lang.String,waitorder.service.HttpHeaders]",id,0
/data/waitorder/service/WaitListOrderService.java,waitorder.service.WaitListOrderService,"updateOrder/2[waitorder.entity.WaitListOrder,waitorder.service.HttpHeaders]",headers,0
/data/waitorder/service/WaitListOrderService.java,waitorder.service.WaitListOrderService,"updateOrder/2[waitorder.entity.WaitListOrder,waitorder.service.HttpHeaders]",order,0
/data/waitorder/config/SecurityConfig.java,waitorder.config.SecurityConfig,configure/1[waitorder.config.HttpSecurity],httpSecurity,2
/data/waitorder/entity/WaitListOrderVO.java,waitorder.entity.WaitListOrderVO,setDate/1[java.util.Date],date,2
/data/waitorder/entity/WaitListOrderStatus.java,waitorder.entity.WaitListOrderStatus,getNameByCode/1[int],code,1
/data/waitorder/entity/WaitListOrderStatus.java,waitorder.entity.WaitListOrderStatus,getNameByCode/1[int],orderStatusSet,2
/data/waitorder/entity/WaitListOrderStatus.java,waitorder.entity.WaitListOrderStatus,getNameByCode/1[int],orderStatus,2
/data/waitorder/entity/WaitListOrderStatus.java,waitorder.entity.WaitListOrderStatus,"WaitListOrderStatus/2[int,java.lang.String]",code,2
/data/waitorder/entity/WaitListOrderStatus.java,waitorder.entity.WaitListOrderStatus,"WaitListOrderStatus/2[int,java.lang.String]",name,2
/data/waitorder/config/SecurityConfig.java,waitorder.config.SecurityConfig$Anonymous1,addCorsMappings/1[waitorder.config.CorsRegistry],registry,1
/data/waitorder/service/Impl/WaitListOrderServiceImpl.java,waitorder.service.Impl.WaitListOrderServiceImpl,getAllOrders/1[waitorder.service.Impl.HttpHeaders],headers,0
/data/waitorder/service/Impl/WaitListOrderServiceImpl.java,waitorder.service.Impl.WaitListOrderServiceImpl,getAllOrders/1[waitorder.service.Impl.HttpHeaders],orderList,4
/data/waitorder/service/Impl/WaitListOrderServiceImpl.java,waitorder.service.Impl.WaitListOrderServiceImpl,"updateOrder/2[waitorder.entity.WaitListOrder,waitorder.service.Impl.HttpHeaders]",headers,0
