@RELATION code_smells

@ATTRIBUTE loc NUMERIC
@ATTRIBUTE wmc NUMERIC
@ATTRIBUTE cbo NUMERIC
@ATTRIBUTE lcom NUMERIC
@ATTRIBUTE rfc NUMERIC
@ATTRIBUTE dit NUMERIC
@ATTRIBUTE noc NUMERIC
@ATTRIBUTE totalMethodsQty NUMERIC
@ATTRIBUTE totalFieldsQty NUMERIC
@ATTRIBUTE is_blob_class {yes,no}
@ATTRIBUTE is_spaghetti_code {yes,no}
@ATTRIBUTE is_swiss_army_knife {yes,no}

@DATA
21,6,3,10,1,2,0,5,0,no,no,no
218,69,15,58,28,5,2,16,5,no,no,no
110,22,6,0,16,1,0,1,0,no,no,no
29,9,0,36,0,1,0,9,0,no,no,no
20,12,2,66,0,1,0,12,6,no,no,no
573,133,40,459,73,2,0,35,60,yes,no,no
4,2,1,1,0,1,0,2,0,no,no,no
154,50,8,41,23,3,2,14,5,no,no,no
40,10,5,33,5,1,0,10,6,no,no,no
4,2,1,1,0,1,0,2,0,no,no,no
164,45,3,25,10,1,1,18,8,no,no,no
2,0,1,0,0,1,0,0,0,no,no,no
12,2,0,0,2,1,0,1,0,no,no,no
720,195,31,184,49,4,1,21,18,yes,no,no
4,1,1,0,0,1,0,1,1,no,no,no
5,1,0,0,1,1,0,1,0,no,no,no
80,31,6,0,13,2,0,9,2,no,no,no
5,1,0,0,1,1,0,1,0,no,no,no
442,156,15,119,62,2,1,18,3,no,no,no
15,6,4,0,5,2,2,1,0,no,no,no
11,2,0,0,1,1,0,1,0,no,no,no
11,3,0,0,1,1,0,1,0,no,no,no
5,1,0,0,1,1,0,1,0,no,no,no
5,1,0,0,0,1,0,1,0,no,no,no
16,10,2,3,1,1,0,3,0,no,no,no
138,51,9,0,25,1,0,27,4,no,no,no
33,11,0,55,1,1,0,11,0,no,no,no
86,32,4,0,14,1,0,20,1,no,no,no
255,58,3,9,30,3,0,7,5,no,no,no
27,6,4,0,10,3,0,4,2,no,no,no
802,239,15,243,69,1,2,30,33,yes,no,no
11,9,5,36,0,1,0,9,0,no,no,no
10,2,1,0,0,2,0,2,1,no,no,no
38,8,4,0,1,1,0,5,9,no,no,no
1068,284,12,0,38,1,1,30,7,no,no,no
42,13,4,78,2,6,0,13,1,no,no,no
38,8,2,0,1,1,0,4,3,no,no,no
102,11,1,45,5,1,0,10,1,no,no,no
49,15,1,0,4,1,0,5,4,no,no,no
16,3,3,1,3,1,2,3,4,no,no,no
36,9,3,28,0,1,0,9,4,no,no,no
33,11,0,55,1,1,0,11,0,no,no,no
14,7,1,3,4,1,0,3,0,no,no,no
4,2,1,1,0,1,0,2,0,no,no,no
41,11,13,55,6,6,0,11,1,no,no,no
38,8,3,13,12,1,0,6,1,no,no,no
630,89,41,1081,22,5,4,50,41,yes,no,yes
249,103,5,118,30,1,0,16,2,no,no,no
11,2,0,0,2,1,0,1,0,no,no,no
22,4,1,0,1,1,0,3,3,no,no,no
141,33,3,15,8,1,2,10,6,no,no,no
99,11,9,0,0,2,0,7,6,no,no,no
6,4,1,6,0,1,0,4,0,no,no,no
275,113,7,116,9,1,0,20,6,no,no,no
8,2,3,1,0,2,4,2,0,no,no,no
18,5,3,10,2,3,0,5,1,no,no,no
9,2,0,1,0,4,0,2,1,no,no,no
6,4,1,6,0,1,0,4,0,no,no,no
9,3,2,0,3,1,0,1,0,no,no,no
31,14,2,45,3,1,18,10,4,no,no,no
58,16,5,22,18,1,0,8,2,no,no,no
28,8,1,0,4,1,0,5,2,no,no,no
255,58,3,9,30,3,0,7,5,no,no,no
22,20,9,190,0,1,0,20,0,no,no,no
13,8,3,28,0,1,0,8,3,no,no,no
86,27,9,105,19,3,0,15,1,no,no,no
33,12,4,20,4,2,2,8,4,no,no,no
11,1,0,0,0,4,0,1,5,no,no,no
38,12,7,1,13,3,0,2,0,no,no,no
12,3,3,3,2,3,0,3,1,no,no,no
3,1,0,0,0,1,0,1,0,no,no,no
86,24,15,28,30,3,0,8,0,no,no,no
48,11,6,0,6,1,0,3,11,no,no,no
48,12,1,0,1,2,0,5,3,no,no,no
12,10,1,45,0,1,0,10,0,no,no,no
10,2,3,0,0,2,0,2,1,no,no,no
5,3,0,3,0,1,0,3,0,no,no,no
16,5,0,0,0,1,0,3,2,no,no,no
13,6,3,1,1,2,0,2,1,no,no,no
70,21,6,28,6,2,1,9,5,no,no,no
17,3,4,0,3,5,0,3,2,no,no,no
8,2,1,1,0,1,0,2,0,no,no,no
11,2,0,0,0,3,0,2,2,no,no,no
29,8,1,0,0,1,0,4,5,no,no,no
11,5,1,0,0,1,0,1,2,no,no,no
90,23,13,0,18,1,0,1,0,no,no,no
4,2,1,1,0,1,0,2,0,no,no,no
4,2,3,1,0,1,0,2,0,no,no,no
24,6,6,15,0,1,0,6,4,no,no,no
78,25,4,300,6,6,0,25,1,no,no,no
24,7,4,21,2,6,0,7,1,no,no,no
102,11,1,45,5,1,0,10,1,no,no,no
102,11,1,45,5,1,0,10,1,no,no,no
217,67,22,15,36,2,0,6,0,no,no,no
143,56,8,18,14,1,0,9,5,no,no,no
35,4,5,0,11,5,0,4,2,no,no,no
18,5,3,10,3,3,0,5,1,no,no,no
137,31,4,0,8,1,2,12,5,no,no,no
98,25,12,0,17,2,0,11,4,no,no,no
5,0,0,0,0,1,0,0,3,no,no,no
57,18,2,0,4,1,0,9,3,no,no,no
36,8,0,0,3,3,2,4,3,no,no,no
2,0,0,0,0,1,0,0,0,no,no,no
17,8,4,1,3,4,0,2,0,no,no,no
444,8,0,9,3,1,0,7,2,no,no,no
146,27,15,12,25,3,2,8,11,no,no,no
238,68,19,15,41,2,0,23,14,no,no,no
775,287,18,3034,69,1,3,84,27,yes,no,yes
