file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,is_blob_class,is_spaghetti_code,is_swiss_army_knife
/work/./src/org/apache/xerces/impl/dv/xs/QNameDV.java,org.apache.xerces.impl.dv.xs.QNameDV$XQName,innerclass,3,3,0,3,6,2,0,1,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,21,5,0,2,0,0,0,0,1,0,1,1,0,0,0,34,26,0,False,False,False
/work/./src/org/apache/xerces/dom/ElementNSImpl.java,org.apache.xerces.dom.ElementNSImpl,class,15,21,6,15,69,5,2,28,58,0.7875,0.22857143,0.25714287,16,0,9,1,5,1,15,0,0,0,5,2,0,0,2,3,2,0,8,218,20,0,24,4,12,15,12,40,2,22,6,0,0,0,180,1,0,False,False,False
/work/./src/org/apache/xerces/impl/XMLDocumentScannerImpl.java,org.apache.xerces.impl.XMLDocumentScannerImpl$TrailingMiscDispatcher,innerclass,6,6,0,6,22,1,0,16,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,110,7,1,2,1,0,10,2,7,0,2,4,0,0,0,81,20,0,False,False,False
/work/./src/org/apache/xerces/util/ErrorHandlerWrapper.java,org.apache.xerces.util.ErrorHandlerWrapper$Anonymous1,anonymous,0,0,0,0,9,1,0,0,36,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,29,9,0,0,0,0,0,1,0,0,0,0,0,0,0,19,-1,0,False,False,False
/work/./src/org/apache/xerces/dom3/as/ASObject.java,org.apache.xerces.dom3.as.ASObject,interface,2,12,10,2,12,1,0,0,66,1.0,0.0,0.0,12,0,12,0,0,0,12,0,0,0,6,6,6,0,0,0,6,0,0,20,0,0,0,0,0,0,6,6,0,6,0,0,0,0,96,1,0,False,False,False
/work/./src/org/apache/xerces/parsers/XML11DTDConfiguration.java,org.apache.xerces.parsers.XML11DTDConfiguration,class,40,41,1,40,133,2,0,73,459,0.9414285,0.11942959,0.7237077,35,0,23,1,11,0,34,0,0,0,60,24,0,1,59,0,24,0,3,573,16,11,40,6,0,2,11,138,25,103,4,0,0,0,325,1,0,True,False,False
/work/./src/org/apache/xerces/xs/datatypes/XSQName.java,org.apache.xerces.xs.datatypes.XSQName,interface,1,3,2,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,False,False,False
/work/./src/org/apache/xerces/dom/AttrNSImpl.java,org.apache.xerces.dom.AttrNSImpl,class,8,14,6,8,50,3,2,23,41,0.8,0.23076923,0.26923078,14,0,10,1,2,1,13,0,0,0,5,3,0,0,2,3,3,0,8,154,11,0,12,0,6,15,11,30,2,17,4,0,0,0,160,1,0,False,False,False
/work/./src/org/apache/xerces/dom/DOMErrorImpl.java,org.apache.xerces.dom.DOMErrorImpl,class,5,9,4,5,10,1,0,5,33,0.81666666,0.16666667,0.2777778,10,0,9,1,0,0,9,0,0,0,6,0,6,0,0,0,0,0,0,40,7,0,0,0,0,0,0,9,0,6,0,0,0,0,93,1,0,False,False,False
/work/./src/org/apache/wml/WMLUElement.java,org.apache.wml.WMLUElement,interface,1,2,1,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,0,False,False,False
/work/./src/org/apache/xml/serialize/Printer.java,org.apache.xml.serialize.Printer,class,3,10,7,3,45,1,1,10,25,0.6458333,0.41830066,0.43137255,18,0,18,0,0,0,18,0,0,0,8,1,0,3,5,0,3,0,0,164,4,3,16,8,0,0,17,39,0,12,3,0,0,0,146,1,0,False,False,False
/work/./src/org/apache/xerces/xs/XSTerm.java,org.apache.xerces.xs.XSTerm,interface,1,6,5,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,False,False,False
